time	V(N143)*Id(M1)+V(N145)*Ig(M1)
0.000000000000000e+000	5.660889e-009
2.929687403590252e-014	1.443038e-004
5.859374807180504e-014	1.923861e-004
1.171874961436101e-013	1.877690e-004
2.343749922872201e-013	1.866577e-004
4.687499845744403e-013	1.853819e-004
9.374999691488806e-013	9.921215e-005
1.874999938297761e-012	-4.830401e-005
3.749999876595522e-012	-5.999913e-005
7.499999753191045e-012	-5.274627e-006
1.499999950638209e-011	-1.136147e-005
2.999999901276418e-011	-4.478549e-005
5.999999802552836e-011	-9.996983e-005
1.199999960510567e-010	-1.954375e-004
2.399999921021134e-010	-3.958565e-004
4.799999842042269e-010	-7.826514e-004
9.599999684084537e-010	-1.512511e-003
1.658213545237689e-009	-2.464859e-003
2.701302889715968e-009	-3.599141e-003
4.096446650815651e-009	-4.401455e-003
6.011092800586506e-009	-3.672935e-003
8.502436470361542e-009	1.361703e-003
1.143212397036154e-008	1.439249e-002
1.436181147036154e-008	3.664091e-002
1.729149897036154e-008	6.952124e-002
2.022118647036154e-008	1.136892e-001
2.315087397036154e-008	1.694729e-001
2.608056147036154e-008	2.369980e-001
2.901024897036154e-008	3.162748e-001
3.193993647036154e-008	4.072540e-001
3.486962397036154e-008	5.098595e-001
3.779931147036154e-008	6.240072e-001
4.072899897036153e-008	7.496147e-001
4.365868647036153e-008	8.866052e-001
4.658837397036153e-008	1.034909e+000
4.951806147036153e-008	1.194464e+000
5.244774897036153e-008	1.365214e+000
5.537743647036153e-008	1.547108e+000
5.830712397036152e-008	1.740100e+000
6.123681147036152e-008	1.944148e+000
6.416649897036153e-008	2.159212e+000
7.002587397036154e-008	2.622239e+000
7.588524897036155e-008	3.128901e+000
8.174462397036156e-008	3.678938e+000
8.760399897036157e-008	4.272101e+000
9.639306147036158e-008	5.242186e+000
1.051821239703616e-007	6.307984e+000
1.139711864703616e-007	7.468732e+000
1.227602489703616e-007	8.723683e+000
1.470348025417902e-007	1.270429e+001
1.713093561132188e-007	1.735092e+001
1.955839096846473e-007	2.266085e+001
2.198584632560759e-007	2.863088e+001
2.441330168275045e-007	3.525737e+001
2.684075703989331e-007	4.253619e+001
2.926821239703616e-007	5.046274e+001
3.223975257560760e-007	6.099791e+001
3.521129275417904e-007	7.234486e+001
3.818283293275048e-007	8.449196e+001
4.115437311132193e-007	9.742652e+001
4.412591328989337e-007	1.111348e+002
4.709745346846481e-007	1.256019e+002
5.006899364703624e-007	1.408120e+002
5.295682846846479e-007	1.562199e+002
5.584466328989332e-007	1.721363e+002
5.873249811132186e-007	1.885400e+002
6.162033293275039e-007	2.054087e+002
6.450816775417894e-007	2.227191e+002
6.739600257560747e-007	2.404465e+002
7.028383739703600e-007	2.585652e+002
7.195794453989313e-007	2.691698e+002
7.363205168275025e-007	2.798281e+002
7.530615882560738e-007	2.905330e+002
7.698026596846450e-007	3.012772e+002
7.865437311132163e-007	3.120531e+002
8.032848025417874e-007	3.228529e+002
8.200258739703586e-007	3.336690e+002
8.229555614703586e-007	3.355560e+002
8.480671686132155e-007	3.517922e+002
8.731787757560724e-007	3.677933e+002
8.982903828989292e-007	3.835196e+002
9.234019900417861e-007	3.989304e+002
9.485135971846430e-007	4.139843e+002
9.736252043274998e-007	4.286389e+002
9.987368114703566e-007	4.428511e+002
1.030963373970356e-006	4.602010e+002
1.063189936470356e-006	4.759140e+002
