Freq.	Is(M1)
1.91852823865054e+003	-1.06179100941966e+002
1.93187265784971e+003	-1.06073489203697e+002
1.94530989482459e+003	-1.05968498310693e+002
1.95884059517387e+003	-1.05864126055339e+002
1.97246540898673e+003	-1.05760370209334e+002
1.98618499087409e+003	-1.05657228525309e+002
2.00000000000002e+003	-1.05554698737079e+002
2.01391110011345e+003	-1.05452778561071e+002
2.02791895958007e+003	-1.05351465695849e+002
2.04202425141440e+003	-1.05250757822426e+002
2.05622765331215e+003	-1.05150652607656e+002
2.07052984768277e+003	-1.05051147701083e+002
2.08493152168226e+003	-1.04952240737933e+002
2.09943336724615e+003	-1.04853929339967e+002
2.11403608112278e+003	-1.04756211113287e+002
2.12874036490674e+003	-1.04659083652238e+002
2.14354692507261e+003	-1.04562544537929e+002
2.15845647300887e+003	-1.04466591339173e+002
2.17346972505214e+003	-1.04371221613813e+002
2.18858740252150e+003	-1.04276432907815e+002
2.20381023175324e+003	-1.04182222756705e+002
2.21913894413571e+003	-1.04088588686808e+002
2.23457427614446e+003	-1.03995528213755e+002
2.25011696937764e+003	-1.03903038844904e+002
2.26576777059162e+003	-1.03811118079000e+002
2.28152743173687e+003	-1.03719763406361e+002
2.29739670999409e+003	-1.03628972309755e+002
2.31337636781060e+003	-1.03538742264350e+002
2.32946717293693e+003	-1.03449070739406e+002
2.34566989846378e+003	-1.03359955197720e+002
2.36198532285908e+003	-1.03271393096316e+002
2.37841423000547e+003	-1.03183381886197e+002
2.39495740923788e+003	-1.03095919013505e+002
2.41161565538155e+003	-1.03009001920156e+002
2.42838976879012e+003	-1.02922628043662e+002
2.44528055538416e+003	-1.02836794818126e+002
2.46228882668986e+003	-1.02751499674003e+002
2.47941539987800e+003	-1.02666740038417e+002
2.49666109780325e+003	-1.02582513336391e+002
2.51402674904368e+003	-1.02498816989278e+002
2.53151318794059e+003	-1.02415648418970e+002
2.54912125463855e+003	-1.02333005043865e+002
2.56685179512584e+003	-1.02250884281535e+002
2.58470566127501e+003	-1.02169283548725e+002
2.60268371088390e+003	-1.02088200262503e+002
2.62078680771676e+003	-1.02007631837468e+002
2.63901582154582e+003	-1.01927575690798e+002
2.65737162819305e+003	-1.01848029238144e+002
2.67585510957225e+003	-1.01768989897585e+002
2.69446715373141e+003	-1.01690455086493e+002
2.71320865489537e+003	-1.01612422225086e+002
2.73208051350882e+003	-1.01534888732849e+002
2.75108363627952e+003	-1.01457852034286e+002
2.77021893622188e+003	-1.01381309553110e+002
2.78948733270084e+003	-1.01305258716672e+002
2.80888975147603e+003	-1.01229696955675e+002
2.82842712474622e+003	-1.01154621701860e+002
2.84810039119418e+003	-1.01080030392032e+002
2.86791049603169e+003	-1.01005920464392e+002
2.88785839104503e+003	-1.00932289362855e+002
2.90794503464066e+003	-1.00859134533832e+002
2.92817139189129e+003	-1.00786453427764e+002
2.94853843458224e+003	-1.00714243499514e+002
2.96904714125813e+003	-1.00642502209454e+002
2.98969849726991e+003	-1.00571227021050e+002
3.01049349482217e+003	-1.00500415403807e+002
3.03143313302083e+003	-1.00430064831818e+002
3.05251841792116e+003	-1.00360172784472e+002
3.07375036257606e+003	-1.00290736746604e+002
3.09512998708482e+003	-1.00221754209228e+002
3.11665831864204e+003	-1.00153222668957e+002
3.13833639158704e+003	-1.00085139628116e+002
3.16016524745355e+003	-1.00017502595195e+002
3.18214593501972e+003	-9.99503090850626e+001
3.20427951035853e+003	-9.98835566202403e+001
3.22656703688855e+003	-9.98172427278359e+001
3.24900958542499e+003	-9.97513649436694e+001
3.27160823423117e+003	-9.96859208091896e+001
3.29436406907034e+003	-9.96209078737693e+001
3.31727818325781e+003	-9.95563236933828e+001
3.34035167771352e+003	-9.94921658320887e+001
3.36358566101490e+003	-9.94284318611358e+001
3.38698124945015e+003	-9.93651193590858e+001
3.41053956707187e+003	-9.93022259126602e+001
3.43426174575106e+003	-9.92397491164119e+001
3.45814892523151e+003	-9.91776865724759e+001
3.48220225318455e+003	-9.91160358917323e+001
3.50642288526419e+003	-9.90547946924436e+001
3.53081198516267e+003	-9.89939606021906e+001
3.55537072466633e+003	-9.89335312562301e+001
3.58010028371194e+003	-9.88735042985411e+001
3.60500185044337e+003	-9.88138773813491e+001
3.63007662126870e+003	-9.87546481666463e+001
3.65532580091766e+003	-9.86958143238442e+001
3.68075060249955e+003	-9.86373735322578e+001
3.70635224756154e+003	-9.85793234798758e+001
3.73213196614728e+003	-9.85216618628341e+001
3.75809099685610e+003	-9.84643863872575e+001
3.78423058690244e+003	-9.84074947688667e+001
3.81055199217581e+003	-9.83509847318410e+001
3.83705647730112e+003	-9.82948540095753e+001
3.86374531569944e+003	-9.82391003452572e+001
3.89061978964920e+003	-9.81837214917093e+001
3.91768119034777e+003	-9.81287152102099e+001
3.94493081797350e+003	-9.80740792728181e+001
3.97236998174820e+003	-9.80198114607454e+001
4.00000000000006e+003	-9.79659095643427e+001
4.02782220022694e+003	-9.79123713843763e+001
4.05583791916018e+003	-9.78591947308792e+001
4.08404850282884e+003	-9.78063774240231e+001
4.11245530662433e+003	-9.77539172932924e+001
4.14105969536558e+003	-9.77018121790779e+001
4.16986304336455e+003	-9.76500599303711e+001
4.19886673449234e+003	-9.75986584069725e+001
4.22807216224559e+003	-9.75476054785797e+001
4.25748072981351e+003	-9.74968990242461e+001
4.28709385014524e+003	-9.74465369341490e+001
4.31691294601778e+003	-9.73965171076372e+001
4.34693945010430e+003	-9.73468374540198e+001
4.37717480504303e+003	-9.72974958940436e+001
4.40762046350651e+003	-9.72484903567979e+001
4.43827788827145e+003	-9.71998187829209e+001
4.46914855228895e+003	-9.71514791225534e+001
4.50023393875531e+003	-9.71034693363491e+001
4.53153554118327e+003	-9.70557873948498e+001
4.56305486347377e+003	-9.70084312788197e+001
4.59479341998822e+003	-9.69613989795236e+001
4.62675273562123e+003	-9.69146884983524e+001
4.65893434587390e+003	-9.68682978469784e+001
4.69133979692759e+003	-9.68222250466453e+001
4.72397064571820e+003	-9.67764681304637e+001
4.75682846001096e+003	-9.67310251400630e+001
4.78991481847580e+003	-9.66858941281966e+001
4.82323131076312e+003	-9.66410731577521e+001
4.85677953758027e+003	-9.65965603020759e+001
4.89056111076836e+003	-9.65523536443417e+001
4.92457765337975e+003	-9.65084512783162e+001
4.95883079975603e+003	-9.64648513078625e+001
4.99332219560653e+003	-9.64215518473690e+001
5.02805349808740e+003	-9.63785510209597e+001
5.06302637588121e+003	-9.63358469633701e+001
5.09824250927713e+003	-9.62934378196830e+001
5.13370359025170e+003	-9.62513217447075e+001
5.16941132255006e+003	-9.62094969040332e+001
5.20536742176782e+003	-9.61679614729051e+001
5.24157361543354e+003	-9.61267136370245e+001
5.27803164309167e+003	-9.60857515924312e+001
5.31474325638614e+003	-9.60450735450574e+001
5.35171021914454e+003	-9.60046777110148e+001
5.38893430746286e+003	-9.59645623167383e+001
5.42641730979078e+003	-9.59247255981192e+001
5.46416102701768e+003	-9.58851658023034e+001
5.50216727255907e+003	-9.58458811852869e+001
5.54043787244380e+003	-9.58068700141224e+001
5.57897466540172e+003	-9.57681305652104e+001
5.61777950295209e+003	-9.57296611250814e+001
5.65685424949248e+003	-9.56914599903666e+001
5.69620078238839e+003	-9.56535254677075e+001
5.73582099206341e+003	-9.56158558738571e+001
5.77571678209009e+003	-9.55784495352019e+001
5.81589006928135e+003	-9.55413047877461e+001
5.85634278378261e+003	-9.55044199781378e+001
5.89707686916451e+003	-9.54677934620042e+001
5.93809428251631e+003	-9.54314236056543e+001
5.97939699453987e+003	-9.53953087845336e+001
6.02098698964438e+003	-9.53594473841561e+001
6.06286626604171e+003	-9.53238377994564e+001
6.10503683584235e+003	-9.52884784357310e+001
6.14750072515217e+003	-9.52533677072395e+001
6.19025997416968e+003	-9.52185040381585e+001
6.23331663728412e+003	-9.51838858623035e+001
6.27667278317413e+003	-9.51495116232962e+001
6.32033049490714e+003	-9.51153797741815e+001
6.36429187003947e+003	-9.50814887771350e+001
6.40855902071710e+003	-9.50478371042995e+001
6.45313407377714e+003	-9.50144232372780e+001
6.49801917085001e+003	-9.49812456666997e+001
6.54321646846238e+003	-9.49483028930653e+001
6.58872813814071e+003	-9.49155934261083e+001
6.63455636651566e+003	-9.48831157845593e+001
6.68070335542709e+003	-9.48508684969016e+001
6.72717132202985e+003	-9.48188501006306e+001
6.77396249890035e+003	-9.47870591426778e+001
6.82107913414379e+003	-9.47554941788272e+001
6.86852349150217e+003	-9.47241537744483e+001
6.91629785046306e+003	-9.46930365036873e+001
6.96440450636913e+003	-9.46621409500441e+001
7.01284577052842e+003	-9.46314657059775e+001
7.06162397032538e+003	-9.46010093728326e+001
7.11074144933271e+003	-9.45707705611086e+001
7.16020056742393e+003	-9.45407478904383e+001
7.21000370088679e+003	-9.45109399887314e+001
7.26015324253744e+003	-9.44813454934393e+001
7.31065160183536e+003	-9.44519630505260e+001
7.36150120499915e+003	-9.44227913149671e+001
7.41270449512312e+003	-9.43938289502464e+001
7.46426393229462e+003	-9.43650746287737e+001
7.51618199371225e+003	-9.43365270319308e+001
7.56846117380493e+003	-9.43081848488071e+001
7.62110398435166e+003	-9.42800467781159e+001
7.67411295460228e+003	-9.42521115265667e+001
7.72749063139893e+003	-9.42243778099555e+001
7.78123957929845e+003	-9.41968443520006e+001
7.83536238069558e+003	-9.41695098850629e+001
7.88986163594704e+003	-9.41423731501710e+001
7.94473996349646e+003	-9.41154328966922e+001
8.00000000000017e+003	-9.40886878819926e+001
8.05564440045392e+003	-9.40621368722427e+001
8.11167583832041e+003	-9.40357786416434e+001
8.16809700565772e+003	-9.40096119726701e+001
8.22491061324871e+003	-9.39836356558567e+001
8.28211939073120e+003	-9.39578484902358e+001
8.33972608672916e+003	-9.39322492827453e+001
8.39773346898472e+003	-9.39068368484806e+001
8.45614432449123e+003	-9.38816100105588e+001
8.51496145962707e+003	-9.38565676000528e+001
8.57418770029054e+003	-9.38317084563392e+001
8.63382589203561e+003	-9.38070314262321e+001
8.69387890020866e+003	-9.37825353647517e+001
8.75434961008612e+003	-9.37582191348726e+001
8.81524092701309e+003	-9.37340816071239e+001
8.87655577654296e+003	-9.37101216600240e+001
8.93829710457797e+003	-9.36863381798414e+001
9.00046787751068e+003	-9.36627300606152e+001
9.06307108236660e+003	-9.36392962036038e+001
9.12610972694760e+003	-9.36160355183779e+001
9.18958683997649e+003	-9.35929469217113e+001
9.25350547124252e+003	-9.35700293378032e+001
9.31786869174786e+003	-9.35472816989309e+001
9.38267959385525e+003	-9.35247029445070e+001
9.44794129143646e+003	-9.35022920210012e+001
9.51365692002199e+003	-9.34800478831474e+001
9.57982963695165e+003	-9.34579694924245e+001
9.64646262152631e+003	-9.34360558179686e+001
9.71355907516061e+003	-9.34143058359334e+001
9.78112222153678e+003	-9.33927185301741e+001
9.84915530675957e+003	-9.33712928913875e+001
9.91766159951213e+003	-9.33500279174181e+001
9.98664439121314e+003	-9.33289226137113e+001
1.00561069961749e+004	-9.33079759924334e+001
1.01260527517625e+004	-9.32871870730179e+001
1.01964850185543e+004	-9.32665548819415e+001
1.02674071805035e+004	-9.32460784525522e+001
1.03388226451002e+004	-9.32257568252647e+001
