time	Id(M1)
0.000000000000000e+000	1.250555e-010
2.929687403590252e-014	3.187836e-006
5.859374807180504e-014	4.250029e-006
1.171874961436101e-013	4.148032e-006
2.343749922872201e-013	4.123483e-006
4.687499845744403e-013	4.095299e-006
9.374999691488806e-013	2.191710e-006
1.874999938297761e-012	-1.067091e-006
3.749999876595522e-012	-1.325450e-006
7.499999753191045e-012	-1.165227e-007
1.499999950638209e-011	-2.509886e-007
2.999999901276418e-011	-9.893657e-007
5.999999802552836e-011	-2.208460e-006
1.199999960510567e-010	-4.317483e-006
2.399999921021134e-010	-8.745104e-006
4.799999842042269e-010	-1.729037e-005
9.599999684084537e-010	-3.341582e-005
1.658213545237689e-009	-5.445932e-005
2.701302889715968e-009	-7.952837e-005
4.096446650815651e-009	-9.727362e-005
6.011092800586506e-009	-8.121684e-005
8.502436470361542e-009	2.994690e-005
1.143212397036154e-008	3.177374e-004
1.436181147036154e-008	8.091533e-004
1.729149897036154e-008	1.535441e-003
2.022118647036154e-008	2.511089e-003
2.315087397036154e-008	3.743349e-003
2.608056147036154e-008	5.235000e-003
2.901024897036154e-008	6.986275e-003
3.193993647036154e-008	8.996089e-003
3.486962397036154e-008	1.126277e-002
3.779931147036154e-008	1.378447e-002
4.072899897036153e-008	1.655938e-002
4.365868647036153e-008	1.958582e-002
4.658837397036153e-008	2.286226e-002
4.951806147036153e-008	2.638734e-002
5.244774897036153e-008	3.015985e-002
5.537743647036153e-008	3.417868e-002
5.830712397036152e-008	3.844284e-002
6.123681147036152e-008	4.295142e-002
6.416649897036153e-008	4.770356e-002
7.002587397036154e-008	5.793539e-002
7.588524897036155e-008	6.913241e-002
8.174462397036156e-008	8.128917e-002
8.760399897036157e-008	9.440053e-002
9.639306147036158e-008	1.158467e-001
1.051821239703616e-007	1.394140e-001
1.139711864703616e-007	1.650869e-001
1.227602489703616e-007	1.928509e-001
1.470348025417902e-007	2.809686e-001
1.713093561132188e-007	3.839420e-001
1.955839096846473e-007	5.017711e-001
2.198584632560759e-007	6.344559e-001
2.441330168275045e-007	7.819963e-001
2.684075703989331e-007	9.443924e-001
2.926821239703616e-007	1.121644e+000
3.223975257560760e-007	1.357896e+000
3.521129275417904e-007	1.613310e+000
3.818283293275048e-007	1.887885e+000
4.115437311132193e-007	2.181621e+000
4.412591328989337e-007	2.494518e+000
4.709745346846481e-007	2.826576e+000
5.006899364703624e-007	3.177796e+000
5.295682846846479e-007	3.535936e+000
5.584466328989332e-007	3.908908e+000
5.873249811132186e-007	4.296710e+000
6.162033293275039e-007	4.699343e+000
6.450816775417894e-007	5.116806e+000
6.739600257560747e-007	5.549101e+000
7.028383739703600e-007	5.996226e+000
7.195794453989313e-007	6.260984e+000
7.363205168275025e-007	6.529657e+000
7.530615882560738e-007	6.802245e+000
7.698026596846450e-007	7.078748e+000
7.865437311132163e-007	7.359165e+000
8.032848025417874e-007	7.643498e+000
8.200258739703586e-007	7.931745e+000
8.229555614703586e-007	7.982485e+000
8.480671686132155e-007	8.423081e+000
8.731787757560724e-007	8.869312e+000
8.982903828989292e-007	9.321177e+000
9.234019900417861e-007	9.778676e+000
9.485135971846430e-007	1.024181e+001
9.736252043274998e-007	1.071058e+001
9.987368114703566e-007	1.118498e+001
1.030963373970356e-006	1.179889e+001
1.063189936470356e-006	1.241486e+001
1.095416498970356e-006	1.303289e+001
1.127643061470355e-006	1.365297e+001
1.159869623970355e-006	1.427511e+001
1.192096186470354e-006	1.489930e+001
1.224322748970354e-006	1.552555e+001
1.233948865041783e-006	1.571227e+001
1.243574981113211e-006	1.589908e+001
1.253201097184639e-006	1.608596e+001
1.262827213256068e-006	1.627294e+001
1.272453329327496e-006	1.646000e+001
1.282079445398925e-006	1.664715e+001
1.291705561470353e-006	1.683438e+001
1.300494623970353e-006	1.700545e+001
1.309283686470353e-006	1.717661e+001
