Freq.	Id(M1)
1.00000000000000e+003	8.89826630116225e+001
1.00695555005672e+003	8.89894842010243e+001
1.01395947979003e+003	8.89962569465149e+001
1.02101212570719e+003	8.90029815025461e+001
1.02811382665607e+003	8.90096582314113e+001
1.03526492384138e+003	8.90162873483891e+001
1.04246576084112e+003	8.90228692476339e+001
1.04971668362307e+003	8.90294042724702e+001
1.05701804056138e+003	8.90358926808823e+001
1.06437018245336e+003	8.90423347525052e+001
1.07177346253629e+003	8.90487308819375e+001
1.07922823650443e+003	8.90550813576646e+001
1.08673486252606e+003	8.90613864862448e+001
1.09429370126074e+003	8.90676464839420e+001
1.10190511587661e+003	8.90738617574389e+001
1.10956947206785e+003	8.90800325179937e+001
1.11728713807222e+003	8.90861591673496e+001
1.12505848468881e+003	8.90922418806578e+001
1.13288388529580e+003	8.90982810314120e+001
1.14076371586843e+003	8.91042769244517e+001
1.14869835499704e+003	8.91102298070640e+001
1.15668818390529e+003	8.91161399153595e+001
1.16473358646846e+003	8.91220075923468e+001
1.17283494923188e+003	8.91278331330716e+001
1.18099266142953e+003	8.91336167589215e+001
1.18920711500272e+003	8.91393588344298e+001
1.19747870461893e+003	8.91450595570672e+001
1.20580782769076e+003	8.91507192252380e+001
1.21419488439505e+003	8.91563381045547e+001
1.22264027769207e+003	8.91619164795553e+001
1.23114441334492e+003	8.91674546021940e+001
1.23970769993899e+003	8.91729527722846e+001
1.24833054890162e+003	8.91784112090971e+001
1.25701337452183e+003	8.91838302085122e+001
1.26575659397028e+003	8.91892099857636e+001
1.27456062731927e+003	8.91945508734030e+001
1.28342589756291e+003	8.91998530237299e+001
1.29235283063750e+003	8.92051167842379e+001
1.30134185544194e+003	8.92103423354019e+001
1.31039340385837e+003	8.92155300093364e+001
1.31950791077290e+003	8.92206800016646e+001
1.32868581409652e+003	8.92257925564971e+001
1.33792755478612e+003	8.92308679423790e+001
1.34723357686570e+003	8.92359063708885e+001
1.35660432744768e+003	8.92409081352846e+001
1.36604025675440e+003	8.92458734610597e+001
1.37554181813975e+003	8.92508025013145e+001
1.38510946811093e+003	8.92556955625909e+001
1.39474366635041e+003	8.92605529550334e+001
1.40444487573800e+003	8.92653747393201e+001
1.41421356237310e+003	8.92701613380367e+001
1.42405019559708e+003	8.92749128450428e+001
1.43395524801583e+003	8.92796295115809e+001
1.44392919552250e+003	8.92843115785330e+001
1.45397251732032e+003	8.92889592844351e+001
1.46408569594563e+003	8.92935728834375e+001
1.47426921729111e+003	8.92981524661196e+001
1.48452357062906e+003	8.93026984111201e+001
