time	Id(M1)
0.000000000000000e+000	1.012523e-010
9.765624940649698e-012	-5.014248e-007
1.953124988129940e-011	-9.698124e-007
2.197265611646182e-011	-1.076551e-006
2.685546858678667e-011	-1.249562e-006
3.662109352743637e-011	-1.614127e-006
5.615234340873576e-011	-2.443963e-006
9.521484317133455e-011	-3.978250e-006
1.733398426965321e-010	-6.965207e-006
3.295898417469273e-010	-1.287485e-005
6.420898398477176e-010	-2.421308e-005
1.221512257274973e-009	-4.377124e-005
2.037628602913189e-009	-6.767696e-005
3.238230584271410e-009	-9.330284e-005
4.820297388414612e-009	-1.035880e-004
6.982926918135331e-009	-5.848170e-005
9.783275751471353e-009	1.362399e-004
1.353769408518237e-008	7.008232e-004
1.849002358862797e-008	2.071517e-003
2.533686546803010e-008	5.253528e-003
3.504869836660486e-008	1.245701e-002
5.009230143063499e-008	3.007372e-002
7.614293458159348e-008	7.992470e-002
1.282442008835104e-007	2.507468e-001
2.324467334873443e-007	8.546792e-001
4.408517986950122e-007	2.983588e+000
8.576619291103478e-007	9.294467e+000
1.124158958725293e-006	1.452253e+001
1.365485218465933e-006	2.011684e+001
1.592685558260156e-006	2.579965e+001
1.746531743857545e-006	2.964571e+001
1.842973964192907e-006	3.148660e+001
1.896719388480647e-006	3.093057e+001
1.929789465375834e-006	2.743192e+001
1.945670893755580e-006	2.327478e+001
1.961298152612753e-006	1.841279e+001
1.977933015908338e-006	1.460450e+001
1.991357424959363e-006	1.269384e+001
2.006350622429911e-006	1.148679e+001
2.022115800704910e-006	1.079534e+001
2.041417801679999e-006	1.038182e+001
2.063542490005488e-006	1.017708e+001
2.092865197985155e-006	1.008240e+001
2.130905340276894e-006	1.004893e+001
2.189207661866897e-006	1.003919e+001
2.282195309581962e-006	1.003503e+001
2.468170605012092e-006	1.002944e+001
2.840121195872351e-006	1.002187e+001
3.584022377592869e-006	1.001308e+001
4.128005888620687e-006	1.000955e+001
5.000000000000000e-006	1.000757e+001
5.087199411137932e-006	1.000325e+001
5.261598233413795e-006	1.000020e+001
5.610395877965520e-006	9.999936e+000
6.094157853657930e-006	1.000002e+001
7.061681805042749e-006	9.999981e+000
8.038244305042749e-006	9.999984e+000
9.014806805042749e-006	9.999981e+000
9.991369305042750e-006	9.999983e+000
1.096793180504275e-005	9.999981e+000
1.194449430504275e-005	9.999983e+000
1.292105680504275e-005	9.999981e+000
1.389761930504275e-005	9.999983e+000
1.487418180504276e-005	9.999981e+000
1.585074430504276e-005	9.999983e+000
1.682730680504276e-005	9.999982e+000
1.780386930504276e-005	9.999983e+000
1.878043180504276e-005	9.999982e+000
1.975699430504276e-005	9.999983e+000
2.073355680504276e-005	9.999982e+000
2.171011930504276e-005	9.999983e+000
2.268668180504276e-005	9.999982e+000
2.366324430504276e-005	9.999983e+000
2.463980680504276e-005	9.999982e+000
2.561636930504276e-005	9.999983e+000
2.659293180504277e-005	9.999982e+000
2.756949430504277e-005	9.999983e+000
2.854605680504277e-005	9.999982e+000
2.952261930504277e-005	9.999983e+000
3.049918180504277e-005	9.999983e+000
3.147574430504277e-005	9.999983e+000
3.245230680504277e-005	9.999982e+000
3.342886930504277e-005	9.999983e+000
3.440543180504277e-005	9.999983e+000
3.538199430504277e-005	9.999983e+000
3.635855680504277e-005	9.999983e+000
3.733511930504278e-005	9.999983e+000
3.831168180504278e-005	9.999983e+000
3.928824430504278e-005	9.999983e+000
4.026480680504278e-005	9.999982e+000
4.124136930504278e-005	9.999982e+000
4.221793180504278e-005	9.999982e+000
4.319449430504278e-005	9.999983e+000
4.417105680504278e-005	9.999983e+000
4.514761930504278e-005	9.999983e+000
4.612418180504278e-005	9.999982e+000
4.710074430504278e-005	9.999982e+000
4.807730680504278e-005	9.999982e+000
4.905386930504279e-005	9.999982e+000
5.003043180504279e-005	9.999982e+000
5.100699430504279e-005	9.999982e+000
5.198355680504279e-005	9.999982e+000
5.296011930504279e-005	9.999983e+000
5.393668180504279e-005	9.999975e+000
5.402343750000000e-005	9.999978e+000
5.419694888991443e-005	9.999985e+000
5.454397166974327e-005	9.999982e+000
5.500000000000000e-005	9.999959e+000
5.504560283302568e-005	9.997142e+000
5.513680849907702e-005	9.994215e+000
