time	V(n141)
0.000000000000000e+000	2.156848e+001
9.765624452758720e-014	2.156848e+001
1.953124890551744e-013	2.156848e+001
3.906249781103488e-013	2.156848e+001
7.812499562206976e-013	2.156848e+001
1.562499912441395e-012	2.156848e+001
3.124999824882790e-012	2.156848e+001
3.515624802993139e-012	2.156848e+001
4.296874759213837e-012	2.156848e+001
5.859374671655232e-012	2.156848e+001
8.984374496538022e-012	2.156848e+001
1.523437414630360e-011	2.156848e+001
1.679687405874500e-011	2.156848e+001
1.992187388362779e-011	2.156848e+001
2.617187353339337e-011	2.156848e+001
3.867187283292453e-011	2.156848e+001
6.367187143198685e-011	2.156848e+001
1.136718686301115e-010	2.156848e+001
2.136718630263608e-010	2.156848e+001
4.136718518188594e-010	2.156848e+001
8.136718294038565e-010	2.156848e+001
1.458136082651208e-009	2.156848e+001
2.402010738016187e-009	2.156848e+001
3.712253457699339e-009	2.156848e+001
5.482929837150398e-009	2.156848e+001
7.831495647597203e-009	2.156848e+001
1.093041770222144e-008	2.156848e+001
1.503020458965401e-008	2.156847e+001
2.054315956022025e-008	2.156844e+001
2.817969617781479e-008	2.156835e+001
3.794532117781479e-008	2.156816e+001
4.771094617781479e-008	2.156784e+001
5.747657117781479e-008	2.156736e+001
6.724219617781478e-008	2.156670e+001
7.700782117781478e-008	2.156583e+001
8.677344617781478e-008	2.156474e+001
9.653907117781478e-008	2.156340e+001
1.063046961778148e-007	2.156179e+001
1.160703211778148e-007	2.155991e+001
1.258359461778148e-007	2.155773e+001
1.356015711778148e-007	2.155525e+001
1.453671961778148e-007	2.155246e+001
1.551328211778148e-007	2.154935e+001
1.648984461778148e-007	2.154591e+001
1.746640711778148e-007	2.154212e+001
1.844296961778148e-007	2.153799e+001
2.039609461778148e-007	2.152867e+001
2.234921961778148e-007	2.151790e+001
2.430234461778147e-007	2.150565e+001
2.625546961778148e-007	2.149188e+001
2.918515711778149e-007	2.146833e+001
3.211484461778149e-007	2.144123e+001
3.504453211778150e-007	2.141048e+001
3.839274640349580e-007	2.137134e+001
4.174096068921010e-007	2.132664e+001
4.508917497492439e-007	2.127639e+001
4.843738926063868e-007	2.122059e+001
5.178560354635298e-007	2.115923e+001
