time	V(N141)*Id(M1)+V(N144)*Ig(M1)
1.606495868011064e-004	3.484543e-001
1.607675595909217e-004	2.700818e-001
1.609074816269951e-004	1.311979e-001
1.609651854344077e-004	7.983763e-002
1.610168467376043e-004	4.977506e-002
1.610777452359620e-004	2.799597e-002
1.611431465573862e-004	1.392637e-002
1.611758103158647e-004	9.752576e-003
1.612179285128469e-004	6.436755e-003
1.612541488814241e-004	4.477877e-003
1.612959811244679e-004	2.961020e-003
1.613335421983136e-004	2.036050e-003
1.613748360104280e-004	1.357357e-003
1.614159537752201e-004	9.011718e-004
1.614548783511427e-004	6.125509e-004
1.614956821989204e-004	4.090192e-004
1.615336560073739e-004	2.809255e-004
1.615749422495979e-004	1.881628e-004
1.616208195558255e-004	1.210575e-004
1.616758935098842e-004	7.157506e-005
1.617406938825033e-004	3.877713e-005
1.618245440331984e-004	1.772515e-005
1.619306230609117e-004	6.705530e-006
1.620896727660242e-004	1.647025e-006
1.623275686836462e-004	1.785256e-007
1.628033605188903e-004	-6.677750e-009
1.637549441893783e-004	2.811713e-009
1.647315066893783e-004	1.866010e-009
1.657080691893783e-004	2.407913e-009
1.666846316893783e-004	2.049914e-009
1.676611941893783e-004	2.282859e-009
1.686377566893783e-004	2.130832e-009
1.696143191893783e-004	2.231366e-009
1.705908816893783e-004	2.165160e-009
1.995510267575134e-004	8.786651e-010
2.000000000000000e-004	-9.462592e-005
2.000009877420742e-004	-7.247916e-004
2.000029632262224e-004	-1.764563e-003
2.000049301148415e-004	-2.171588e-003
2.000068263394162e-004	-1.374056e-003
2.000096683495525e-004	2.701597e-003
2.000131786257876e-004	1.366862e-002
2.000182395382245e-004	4.282754e-002
2.000247448604247e-004	1.061273e-001
2.000344501014445e-004	2.569232e-001
2.000487043657586e-004	6.065722e-001
2.000741449097864e-004	1.628276e+000
2.001250259978420e-004	5.131802e+000
2.002267881739533e-004	1.750464e+001
2.004303125261757e-004	6.040987e+001
2.008373612306207e-004	1.773545e+002
2.010997641169333e-004	2.551230e+002
2.013455223102173e-004	3.006545e+002
2.015789609994490e-004	2.793825e+002
2.017356377966613e-004	2.070351e+002
2.018372781862337e-004	1.257105e+002
2.018932999415810e-004	6.906227e+001
2.019272663149590e-004	3.349125e+001
2.019442758134493e-004	1.888135e+001
2.019593265807762e-004	1.078249e+001
2.019757170910891e-004	6.297968e+000
2.019884559062793e-004	4.597137e+000
2.020028560489024e-004	3.649446e+000
2.020186021659841e-004	3.125675e+000
2.020372069314752e-004	2.830596e+000
2.020585936473591e-004	2.679053e+000
2.020860971801280e-004	2.598303e+000
2.021219331573903e-004	2.552821e+000
2.021749533287295e-004	2.514913e+000
2.022585913441600e-004	2.467833e+000
2.024258673750210e-004	2.388238e+000
2.027604194367431e-004	2.264991e+000
2.034295235601873e-004	2.089940e+000
2.041305399827096e-004	1.966174e+000
2.050000000000000e-004	1.857844e+000
2.050869460017291e-004	1.849447e+000
2.052608380051872e-004	1.844150e+000
2.056086220121033e-004	1.843909e+000
2.060911934547702e-004	1.843994e+000
2.070563363401038e-004	1.843951e+000
2.080328988401038e-004	1.843953e+000
2.090094613401038e-004	1.843951e+000
2.099860238401038e-004	1.843953e+000
2.109625863401038e-004	1.843951e+000
2.119391488401038e-004	1.843953e+000
2.129157113401038e-004	1.843951e+000
2.138922738401038e-004	1.843953e+000
2.148688363401038e-004	1.843952e+000
2.158453988401038e-004	1.843953e+000
2.168219613401038e-004	1.843952e+000
2.177985238401038e-004	1.843953e+000
2.187750863401038e-004	1.843952e+000
2.197516488401038e-004	1.843953e+000
2.207282113401038e-004	1.843952e+000
2.217047738401038e-004	1.843953e+000
2.226813363401038e-004	1.843952e+000
2.236578988401038e-004	1.843953e+000
2.246344613401039e-004	1.843952e+000
2.256110238401039e-004	1.843953e+000
2.265875863401039e-004	1.843952e+000
2.275641488401039e-004	1.843953e+000
2.285407113401039e-004	1.843952e+000
2.295172738401039e-004	1.843953e+000
2.304938363401039e-004	1.843952e+000
2.314703988401039e-004	1.843952e+000
2.324469613401039e-004	1.843952e+000
2.334235238401039e-004	1.843952e+000
2.344000863401039e-004	1.843952e+000
2.353766488401039e-004	1.843952e+000
2.363532113401039e-004	1.843952e+000
2.373297738401039e-004	1.843952e+000
2.383063363401039e-004	1.843952e+000
2.392828988401039e-004	1.843952e+000
2.402594613401039e-004	1.843952e+000
2.412360238401039e-004	1.843952e+000
2.422125863401039e-004	1.843952e+000
2.431891488401039e-004	1.843952e+000
2.441657113401039e-004	1.843952e+000
2.451422738401039e-004	1.843952e+000
2.461188363401039e-004	1.843952e+000
2.470953988401039e-004	1.843952e+000
2.480719613401039e-004	1.843952e+000
