time	V(n143)
0.000000000000000e+000	4.526701e+001
9.765625114122045e-011	4.526701e+001
9.996968650957740e-011	4.526701e+001
1.045965572462913e-010	4.526701e+001
1.138502987197191e-010	4.526701e+001
1.323577816665746e-010	4.526701e+001
1.693727475602857e-010	4.526701e+001
2.434026793477079e-010	4.526701e+001
3.914625429225523e-010	4.526701e+001
6.875822700722410e-010	4.526701e+001
1.279821724371619e-009	4.526701e+001
2.123015724748701e-009	4.526701e+001
3.356186785937805e-009	4.526701e+001
4.975831617871365e-009	4.526701e+001
7.183016553450348e-009	4.526701e+001
1.004082228018252e-008	4.526701e+001
1.387138638910282e-008	4.526698e+001
1.893397798161039e-008	4.526689e+001
2.595276370321879e-008	4.526664e+001
3.596895498116541e-008	4.526591e+001
5.164517559043380e-008	4.526351e+001
7.938551328715729e-008	4.525415e+001
1.348661886806043e-007	4.521216e+001
2.458275394674982e-007	4.502410e+001
4.677502410412861e-007	4.403796e+001
9.115956441888618e-007	3.977934e+001
1.151237657878740e-006	3.486093e+001
1.344713904319989e-006	2.755012e+001
1.511305724119081e-006	1.825354e+001
1.631315905943047e-006	9.793752e+000
1.693506390547036e-006	4.902660e+000
1.726858023145305e-006	2.310182e+000
1.744176942390890e-006	1.142996e+000
1.752572546627988e-006	7.286155e-001
1.758719442575372e-006	5.432698e-001
1.765732028664858e-006	4.226693e-001
1.772111632601307e-006	3.608758e-001
1.780013637698026e-006	3.201795e-001
1.787399173521324e-006	3.002189e-001
1.797266842651548e-006	2.872521e-001
1.808077825766724e-006	2.804171e-001
1.824255675152596e-006	2.758042e-001
1.843806414798154e-006	2.729473e-001
1.877766309001885e-006	2.697439e-001
1.923338499467347e-006	2.660988e-001
2.014482880398272e-006	2.596433e-001
2.196771642260121e-006	2.488747e-001
2.561349165983820e-006	2.326790e-001
3.181941007249776e-006	2.135932e-001
3.893086777552588e-006	1.982419e-001
4.093334718522740e-006	1.950494e-001
4.493830600463043e-006	1.900740e-001
5.000000000000000e-006	1.845783e-001
5.050616939953696e-006	1.844735e-001
5.151850819861087e-006	1.844010e-001
5.354318579675870e-006	1.843945e-001
5.675255639447828e-006	1.843965e-001
6.317129758991745e-006	1.843955e-001
7.293692258991745e-006	1.843957e-001
8.270254758991745e-006	1.843957e-001
9.246817258991746e-006	1.843957e-001
1.022337975899175e-005	1.843957e-001
1.119994225899175e-005	1.843957e-001
1.217650475899175e-005	1.843957e-001
1.315306725899175e-005	1.843957e-001
1.412962975899175e-005	1.843957e-001
1.510619225899175e-005	1.843957e-001
1.608275475899175e-005	1.843957e-001
1.705931725899175e-005	1.843957e-001
1.803587975899175e-005	1.843957e-001
1.901244225899176e-005	1.843957e-001
1.998900475899176e-005	1.843957e-001
2.096556725899176e-005	1.843957e-001
2.194212975899176e-005	1.843957e-001
2.291869225899176e-005	1.843957e-001
2.389525475899176e-005	1.843957e-001
2.487181725899176e-005	1.843957e-001
2.584837975899176e-005	1.843957e-001
2.682494225899176e-005	1.843957e-001
2.780150475899176e-005	1.843957e-001
2.877806725899176e-005	1.843957e-001
2.975462975899176e-005	1.843957e-001
3.073119225899176e-005	1.843957e-001
3.170775475899176e-005	1.843957e-001
3.268431725899176e-005	1.843957e-001
3.366087975899176e-005	1.843957e-001
3.463744225899177e-005	1.843957e-001
3.561400475899177e-005	1.843957e-001
3.659056725899177e-005	1.843957e-001
3.756712975899177e-005	1.843957e-001
3.854369225899177e-005	1.843957e-001
3.952025475899177e-005	1.843957e-001
4.049681725899177e-005	1.843957e-001
4.147337975899177e-005	1.843957e-001
4.244994225899177e-005	1.843957e-001
4.342650475899177e-005	1.843957e-001
4.440306725899177e-005	1.843957e-001
4.537962975899178e-005	1.843957e-001
4.635619225899178e-005	1.843957e-001
4.733275475899178e-005	1.843957e-001
4.830931725899178e-005	1.843957e-001
4.928587975899178e-005	1.843957e-001
5.026244225899178e-005	1.843957e-001
5.123900475899178e-005	1.843957e-001
5.221556725899178e-005	1.843957e-001
5.319212975899178e-005	1.843957e-001
5.402343750000000e-005	1.843957e-001
5.500000000000000e-005	1.843959e-001
