Freq.	Is(M1)
3.75809099685610e+003	-3.86501108789945e+001
3.78423058690244e+003	-3.85911840687503e+001
3.81055199217581e+003	-3.85322400175566e+001
3.83705647730112e+003	-3.84732789529086e+001
3.86374531569944e+003	-3.84143010994225e+001
3.89061978964920e+003	-3.83553066788731e+001
3.91768119034777e+003	-3.82962959102529e+001
3.94493081797350e+003	-3.82372690097552e+001
3.97236998174820e+003	-3.81782261908422e+001
4.00000000000006e+003	-3.81191676642780e+001
4.02782220022694e+003	-3.80600936381334e+001
4.05583791916018e+003	-3.80010043178427e+001
4.08404850282884e+003	-3.79418999062167e+001
4.11245530662433e+003	-3.78827806034913e+001
4.14105969536558e+003	-3.78236466073258e+001
4.16986304336455e+003	-3.77644981128806e+001
4.19886673449234e+003	-3.77053353128026e+001
4.22807216224559e+003	-3.76461583972738e+001
4.25748072981351e+003	-3.75869675540518e+001
4.28709385014524e+003	-3.75277629684639e+001
4.31691294601778e+003	-3.74685448234748e+001
4.34693945010430e+003	-3.74093132997001e+001
4.37717480504303e+003	-3.73500685754053e+001
4.40762046350651e+003	-3.72908108265948e+001
4.43827788827145e+003	-3.72315402269772e+001
4.46914855228895e+003	-3.71722569480325e+001
4.50023393875531e+003	-3.71129611590196e+001
4.53153554118327e+003	-3.70536530270158e+001
4.56305486347377e+003	-3.69943327169361e+001
4.59479341998822e+003	-3.69350003915552e+001
4.62675273562123e+003	-3.68756562115401e+001
4.65893434587390e+003	-3.68163003354729e+001
4.69133979692759e+003	-3.67569329198895e+001
4.72397064571820e+003	-3.66975541192627e+001
4.75682846001096e+003	-3.66381640860878e+001
4.78991481847580e+003	-3.65787629708603e+001
4.82323131076312e+003	-3.65193509221179e+001
4.85677953758027e+003	-3.64599280864588e+001
4.89056111076836e+003	-3.64004946085765e+001
4.92457765337975e+003	-3.63410506312698e+001
4.95883079975603e+003	-3.62815962954750e+001
4.99332219560653e+003	-3.62221317402812e+001
5.02805349808740e+003	-3.61626571029661e+001
5.06302637588121e+003	-3.61031725190042e+001
5.09824250927713e+003	-3.60436781220931e+001
5.13370359025170e+003	-3.59841740441858e+001
5.16941132255006e+003	-3.59246604154948e+001
5.20536742176782e+003	-3.58651373645318e+001
5.24157361543354e+003	-3.58056050181163e+001
5.27803164309167e+003	-3.57460635013976e+001
5.31474325638614e+003	-3.56865129378836e+001
5.35171021914454e+003	-3.56269534494556e+001
5.38893430746286e+003	-3.55673851563869e+001
5.42641730979078e+003	-3.55078081773757e+001
5.46416102701768e+003	-3.54482226295373e+001
5.50216727255907e+003	-3.53886286284605e+001
5.54043787244380e+003	-3.53290262881927e+001
5.57897466540172e+003	-3.52694157212853e+001
5.61777950295209e+003	-3.52097970388005e+001
5.65685424949248e+003	-3.51501703503298e+001
5.69620078238839e+003	-3.50905357640142e+001
5.73582099206341e+003	-3.50308933865606e+001
5.77571678209009e+003	-3.49712433232667e+001
5.81589006928135e+003	-3.49115856780387e+001
5.85634278378261e+003	-3.48519205533937e+001
