time	V(N141)*Id(M1)+V(N144)*Ig(M1)
0.000000000000000e+000	2.183859e-009
9.765624452758720e-014	1.499434e-005
1.953124890551744e-013	1.964842e-005
3.906249781103488e-013	1.798651e-005
7.812499562206976e-013	8.781862e-006
1.562499912441395e-012	-7.901937e-006
3.124999824882790e-012	-1.347235e-005
3.515624802993139e-012	-1.602884e-005
4.296874759213837e-012	-1.806606e-005
5.859374671655232e-012	-1.022317e-005
8.984374496538022e-012	-8.006839e-006
1.523437414630360e-011	-1.485033e-005
1.679687405874500e-011	-1.742964e-005
1.992187388362779e-011	-2.117618e-005
2.617187353339337e-011	-2.581516e-005
3.867187283292453e-011	-3.781232e-005
6.367187143198685e-011	-5.944014e-005
1.136718686301115e-010	-1.007123e-004
2.136718630263608e-010	-1.835781e-004
4.136718518188594e-010	-3.446588e-004
8.136718294038565e-010	-6.515801e-004
1.458136082651208e-009	-1.103347e-003
2.402010738016187e-009	-1.655429e-003
3.712253457699339e-009	-2.145112e-003
5.482929837150398e-009	-2.109752e-003
7.831495647597203e-009	-3.695857e-004
1.093041770222144e-008	5.809321e-003
1.503020458965401e-008	2.234620e-002
2.054315956022025e-008	6.181194e-002
2.817969617781479e-008	1.499720e-001
3.794532117781479e-008	3.149929e-001
4.771094617781479e-008	5.383517e-001
5.747657117781479e-008	8.223718e-001
6.724219617781478e-008	1.166191e+000
7.700782117781478e-008	1.569165e+000
8.677344617781478e-008	2.030726e+000
9.653907117781478e-008	2.550336e+000
1.063046961778148e-007	3.127470e+000
1.160703211778148e-007	3.761612e+000
1.258359461778148e-007	4.452254e+000
1.356015711778148e-007	5.198893e+000
1.453671961778148e-007	6.001030e+000
1.551328211778148e-007	6.858169e+000
1.648984461778148e-007	7.769817e+000
1.746640711778148e-007	8.735483e+000
1.844296961778148e-007	9.754677e+000
2.039609461778148e-007	1.195169e+001
2.234921961778148e-007	1.435695e+001
2.430234461778147e-007	1.696653e+001
2.625546961778148e-007	1.977649e+001
2.918515711778149e-007	2.435846e+001
3.211484461778149e-007	2.936881e+001
3.504453211778150e-007	3.479382e+001
3.839274640349580e-007	4.151631e+001
4.174096068921010e-007	4.870798e+001
4.508917497492439e-007	5.635996e+001
4.843738926063868e-007	6.446259e+001
5.178560354635298e-007	7.300543e+001
5.513381783206727e-007	8.197721e+001
5.848203211778156e-007	9.136591e+001
6.169073747492443e-007	1.006984e+002
6.489944283206730e-007	1.103022e+002
6.810814818921017e-007	1.201615e+002
7.131685354635303e-007	1.302600e+002
7.452555890349590e-007	1.405803e+002
7.773426426063876e-007	1.511044e+002
8.094296961778162e-007	1.618132e+002
8.401216604635305e-007	1.721685e+002
8.708136247492450e-007	1.825447e+002
9.015055890349593e-007	1.929153e+002
9.321975533206736e-007	2.032528e+002
9.628895176063880e-007	2.135286e+002
9.935814818921025e-007	2.237133e+002
1.024273446177817e-006	2.337763e+002
1.052175231892102e-006	2.427228e+002
1.080077017606388e-006	2.513745e+002
1.107978803320674e-006	2.596952e+002
1.135880589034960e-006	2.676481e+002
1.163782374749246e-006	2.751951e+002
1.191684160463532e-006	2.822976e+002
1.219585946177817e-006	2.889159e+002
1.239117196177817e-006	2.931471e+002
1.258648446177817e-006	2.970533e+002
1.278179696177817e-006	3.006094e+002
1.297710946177817e-006	3.037895e+002
1.307476571177817e-006	3.052303e+002
1.317242196177817e-006	3.065674e+002
1.327007821177818e-006	3.077971e+002
1.336773446177818e-006	3.089163e+002
1.346539071177818e-006	3.099214e+002
1.356304696177818e-006	3.108090e+002
1.366070321177818e-006	3.115757e+002
1.375835946177818e-006	3.122180e+002
1.385601571177818e-006	3.127323e+002
1.395367196177818e-006	3.131152e+002
1.405132821177818e-006	3.133630e+002
1.414898446177818e-006	3.134723e+002
1.424664071177818e-006	3.134393e+002
1.434429696177818e-006	3.132605e+002
1.444195321177818e-006	3.129324e+002
1.453960946177818e-006	3.124511e+002
1.463726571177818e-006	3.118131e+002
1.473492196177818e-006	3.110147e+002
1.483257821177818e-006	3.100521e+002
1.493023446177818e-006	3.089217e+002
1.502789071177818e-006	3.076198e+002
1.512554696177818e-006	3.061425e+002
1.522320321177818e-006	3.044862e+002
1.532085946177818e-006	3.026470e+002
1.541851571177818e-006	3.006212e+002
1.551617196177818e-006	2.984050e+002
1.561382821177818e-006	2.959946e+002
1.571148446177818e-006	2.933861e+002
1.580914071177818e-006	2.905759e+002
1.590679696177818e-006	2.875599e+002
1.600445321177818e-006	2.843345e+002
1.610210946177818e-006	2.808958e+002
1.619976571177818e-006	2.772400e+002
1.629742196177818e-006	2.733632e+002
1.639507821177818e-006	2.692616e+002
1.649273446177818e-006	2.649316e+002
1.659039071177818e-006	2.603692e+002
1.668804696177818e-006	2.555708e+002
1.678570321177818e-006	2.505326e+002
1.688335946177818e-006	2.452510e+002
1.698101571177818e-006	2.397223e+002
1.707867196177819e-006	2.339430e+002
1.717632821177819e-006	2.279097e+002
1.727398446177819e-006	2.216189e+002
1.737164071177819e-006	2.150674e+002
1.746929696177819e-006	2.082522e+002
1.756695321177819e-006	2.011702e+002
1.766460946177819e-006	1.938190e+002
1.776226571177819e-006	1.861960e+002
1.785992196177819e-006	1.782993e+002
1.795757821177819e-006	1.701275e+002
1.805523446177819e-006	1.616796e+002
1.815289071177819e-006	1.529557e+002
1.825054696177819e-006	1.439568e+002
1.834820321177819e-006	1.346858e+002
1.844585946177819e-006	1.251475e+002
1.854351571177819e-006	1.153503e+002
1.864117196177819e-006	1.053079e+002
1.873882821177819e-006	9.504252e+001
1.883648446177819e-006	8.459075e+001
1.893414071177819e-006	7.401391e+001
1.903179696177819e-006	6.341250e+001
1.912945321177819e-006	5.293614e+001
1.922710946177819e-006	4.244939e+001
1.932476571177819e-006	3.197412e+001
1.941907645024230e-006	2.289366e+001
1.951673270024230e-006	1.570609e+001
1.961438895024230e-006	1.084426e+001
1.971204520024230e-006	7.751476e+000
1.980970145024230e-006	5.832337e+000
1.990735770024230e-006	4.645712e+000
2.000501395024231e-006	3.906331e+000
2.010267020024231e-006	3.439901e+000
2.020032645024231e-006	3.141706e+000
2.029798270024231e-006	2.948573e+000
2.039563895024231e-006	2.821875e+000
2.049329520024231e-006	2.737618e+000
2.059095145024231e-006	2.680683e+000
2.068860770024231e-006	2.641436e+000
2.078626395024231e-006	2.613685e+000
2.088392020024231e-006	2.593428e+000
2.098157645024231e-006	2.578069e+000
2.107923270024231e-006	2.565920e+000
2.117688895024231e-006	2.555884e+000
2.127454520024231e-006	2.547245e+000
2.137220145024231e-006	2.539536e+000
2.146985770024231e-006	2.532456e+000
2.156751395024231e-006	2.525805e+000
2.166517020024231e-006	2.519456e+000
2.186048270024231e-006	2.507355e+000
2.215345145024231e-006	2.490124e+000
2.257197823595660e-006	2.466897e+000
2.299050502167088e-006	2.444561e+000
2.340903180738517e-006	2.423113e+000
2.382755859309946e-006	2.402553e+000
2.424608537881375e-006	2.382879e+000
2.466461216452803e-006	2.364092e+000
2.508313895024232e-006	2.346189e+000
2.529240234309946e-006	2.337438e+000
2.550166573595661e-006	2.328845e+000
2.571092912881375e-006	2.320410e+000
2.592019252167089e-006	2.312132e+000
2.612945591452803e-006	2.304011e+000
2.633871930738518e-006	2.296047e+000
2.654798270024232e-006	2.288241e+000
2.664563895024232e-006	2.284642e+000
2.748269252167089e-006	2.255412e+000
2.831974609309947e-006	2.227764e+000
2.915679966452805e-006	2.201696e+000
2.999385323595662e-006	2.177205e+000
3.083090680738519e-006	2.154291e+000
3.166796037881377e-006	2.132952e+000
3.250501395024234e-006	2.113187e+000
3.356528180738519e-006	2.089622e+000
3.462554966452804e-006	2.067332e+000
3.568581752167088e-006	2.046316e+000
3.674608537881373e-006	2.026575e+000
3.780635323595658e-006	2.008107e+000
3.886662109309943e-006	1.990910e+000
3.992688895024228e-006	1.974986e+000
4.128012555738508e-006	1.955874e+000
4.263336216452788e-006	1.937810e+000
4.398659877167069e-006	1.920792e+000
4.533983537881349e-006	1.904822e+000
4.669307198595629e-006	1.889897e+000
4.804630859309909e-006	1.876019e+000
4.939954520024189e-006	1.863186e+000
5.000000000000000e-006	1.857627e+000
5.001108928883907e-006	1.856774e+000
5.002587500729115e-006	1.855731e+000
5.005544644419532e-006	1.853940e+000
5.011458931800364e-006	1.851194e+000
5.021224556800364e-006	1.848110e+000
5.030990181800364e-006	1.846243e+000
5.040755806800363e-006	1.845214e+000
5.050521431800363e-006	1.844646e+000
5.060287056800362e-006	1.844334e+000
5.070052681800362e-006	1.844162e+000
5.079818306800362e-006	1.844068e+000
5.089583931800361e-006	1.844016e+000
5.099349556800361e-006	1.843987e+000
5.109115181800360e-006	1.843971e+000
5.118880806800360e-006	1.843963e+000
5.128646431800360e-006	1.843958e+000
5.138412056800359e-006	1.843955e+000
5.148177681800359e-006	1.843954e+000
5.157943306800358e-006	1.843953e+000
5.167708931800358e-006	1.843953e+000
5.177474556800358e-006	1.843953e+000
5.187240181800357e-006	1.843952e+000
5.197005806800357e-006	1.843952e+000
5.206771431800356e-006	1.843952e+000
5.216537056800356e-006	1.843952e+000
5.226302681800356e-006	1.843952e+000
5.236068306800355e-006	1.843952e+000
5.255599556800354e-006	1.843952e+000
5.279316074657497e-006	1.843952e+000
5.303032592514638e-006	1.843952e+000
5.326749110371780e-006	1.843952e+000
5.350465628228922e-006	1.843952e+000
5.374182146086064e-006	1.843952e+000
5.397898663943205e-006	1.843952e+000
5.421615181800348e-006	1.843952e+000
5.519271431800344e-006	1.843952e+000
8.448958931800225e-006	1.843952e+000
9.991927681800162e-006	1.843952e+000
9.999999999999999e-006	1.843952e+000
