time	V(n143)
1.192096186470354e-006	3.485623e+001
1.224322748970354e-006	3.378711e+001
1.233948865041783e-006	3.344366e+001
1.243574981113211e-006	3.309065e+001
1.253201097184639e-006	3.272810e+001
1.262827213256068e-006	3.235601e+001
1.272453329327496e-006	3.197437e+001
1.282079445398925e-006	3.158318e+001
1.291705561470353e-006	3.118245e+001
1.300494623970353e-006	3.080761e+001
1.309283686470353e-006	3.042441e+001
1.318072748970353e-006	3.003278e+001
1.326861811470353e-006	2.963266e+001
1.335650873970353e-006	2.922398e+001
1.344439936470353e-006	2.880669e+001
1.353228998970352e-006	2.838074e+001
1.362018061470352e-006	2.794607e+001
1.370807123970352e-006	2.750265e+001
1.379596186470352e-006	2.705042e+001
1.388385248970352e-006	2.658937e+001
1.397174311470352e-006	2.611945e+001
1.405963373970352e-006	2.564063e+001
1.414752436470352e-006	2.515289e+001
1.420611811470352e-006	2.482276e+001
1.426471186470352e-006	2.448865e+001
1.432330561470352e-006	2.415055e+001
1.438189936470351e-006	2.380847e+001
1.444049311470351e-006	2.346239e+001
1.449908686470351e-006	2.311231e+001
1.455768061470351e-006	2.275824e+001
1.461627436470351e-006	2.240017e+001
1.467486811470351e-006	2.203809e+001
1.473346186470351e-006	2.167202e+001
1.479205561470351e-006	2.130195e+001
1.485064936470351e-006	2.092788e+001
1.490924311470351e-006	2.054982e+001
1.496783686470351e-006	2.016777e+001
1.502643061470351e-006	1.978173e+001
1.508502436470351e-006	1.939172e+001
1.514361811470351e-006	1.899775e+001
1.520221186470351e-006	1.859980e+001
1.526080561470350e-006	1.819792e+001
1.531939936470350e-006	1.779209e+001
1.537799311470350e-006	1.738234e+001
1.543658686470350e-006	1.696868e+001
1.549518061470350e-006	1.655113e+001
1.555377436470350e-006	1.612972e+001
1.561236811470350e-006	1.570445e+001
1.567096186470350e-006	1.527537e+001
1.572955561470350e-006	1.484250e+001
1.578814936470350e-006	1.440588e+001
1.584674311470350e-006	1.396553e+001
1.590533686470350e-006	1.352151e+001
1.593463373970350e-006	1.329814e+001
1.596393061470350e-006	1.307386e+001
1.599322748970350e-006	1.284870e+001
1.602252436470350e-006	1.262264e+001
1.605182123970350e-006	1.239571e+001
1.608111811470349e-006	1.216792e+001
1.611041498970349e-006	1.193926e+001
1.613971186470349e-006	1.170975e+001
1.616900873970349e-006	1.147941e+001
1.619830561470349e-006	1.124824e+001
1.622760248970349e-006	1.101625e+001
1.625689936470349e-006	1.078346e+001
1.628619623970349e-006	1.054988e+001
1.631549311470349e-006	1.031553e+001
1.634478998970349e-006	1.008043e+001
1.637408686470349e-006	9.844585e+000
