Freq.	Id(M1)
1.00000000000000e+003	-5.05105393849033e+001
1.00695555005672e+003	-5.04503516933639e+001
1.01395947979003e+003	-5.03901637500955e+001
1.02101212570719e+003	-5.03299755583800e+001
1.02811382665607e+003	-5.02697871217401e+001
1.03526492384138e+003	-5.02095984432786e+001
1.04246576084112e+003	-5.01494095265184e+001
1.04971668362307e+003	-5.00892203748092e+001
1.05701804056138e+003	-5.00290309912459e+001
1.06437018245336e+003	-4.99688413789426e+001
1.07177346253629e+003	-4.99086515412590e+001
1.07922823650443e+003	-4.98484614812529e+001
1.08673486252606e+003	-4.97882712019887e+001
1.09429370126074e+003	-4.97280807062779e+001
1.10190511587661e+003	-4.96678899973549e+001
1.10956947206785e+003	-4.96076990779486e+001
1.11728713807222e+003	-4.95475079512059e+001
1.12505848468881e+003	-4.94873166197032e+001
1.13288388529580e+003	-4.94271250864500e+001
1.14076371586843e+003	-4.93669333542581e+001
1.14869835499704e+003	-4.93067414257739e+001
1.15668818390529e+003	-4.92465493035876e+001
1.16473358646846e+003	-4.91863569905008e+001
1.17283494923188e+003	-4.91261644891725e+001
1.18099266142953e+003	-4.90659718020645e+001
1.18920711500272e+003	-4.90057789319280e+001
1.19747870461893e+003	-4.89455858811112e+001
1.20580782769076e+003	-4.88853926521565e+001
1.21419488439505e+003	-4.88251992475044e+001
1.22264027769207e+003	-4.87650056696060e+001
1.23114441334492e+003	-4.87048119208131e+001
1.23970769993899e+003	-4.86446180035521e+001
1.24833054890162e+003	-4.85844239200484e+001
1.25701337452183e+003	-4.85242296726625e+001
1.26575659397028e+003	-4.84640352635584e+001
1.27456062731927e+003	-4.84038406951166e+001
1.28342589756291e+003	-4.83436459693182e+001
1.29235283063750e+003	-4.82834510885206e+001
1.30134185544194e+003	-4.82232560547122e+001
1.31039340385837e+003	-4.81630608701640e+001
1.31950791077290e+003	-4.81028655368453e+001
1.32868581409652e+003	-4.80426700567998e+001
1.33792755478612e+003	-4.79824744320936e+001
1.34723357686570e+003	-4.79222786646571e+001
1.35660432744768e+003	-4.78620827565559e+001
1.36604025675440e+003	-4.78018867096998e+001
1.37554181813975e+003	-4.77416905258372e+001
1.38510946811093e+003	-4.76814942069886e+001
1.39474366635041e+003	-4.76212977551557e+001
