time	V(out)
0.000000000000000e+000	4.617194e+001
4.882812226379360e-014	4.617194e+001
9.765624452758720e-014	4.617194e+001
1.953124890551744e-013	4.617194e+001
3.906249781103488e-013	4.617194e+001
7.812499562206976e-013	4.617194e+001
1.562499912441395e-012	4.617194e+001
3.124999824882790e-012	4.617194e+001
6.249999649765581e-012	4.617194e+001
1.249999929953116e-011	4.617194e+001
2.499999859906232e-011	4.617194e+001
4.999999719812465e-011	4.617194e+001
9.999999439624929e-011	4.617194e+001
1.999999887924986e-010	4.617194e+001
3.999999775849972e-010	4.617194e+001
7.199426452111489e-010	4.617194e+001
1.312946153795480e-009	4.617194e+001
2.180401499338474e-009	4.617195e+001
3.426336150685425e-009	4.617196e+001
5.084721159417898e-009	4.617196e+001
7.320733565235154e-009	4.617197e+001
1.024063127972541e-008	4.617197e+001
1.413494020182681e-008	4.617199e+001
1.901775270182681e-008	4.617200e+001
2.390056520182681e-008	4.617200e+001
2.878337770182681e-008	4.617201e+001
3.366619020182681e-008	4.617202e+001
3.854900270182681e-008	4.617203e+001
4.343181520182681e-008	4.617203e+001
4.831462770182681e-008	4.617204e+001
5.319744020182681e-008	4.617204e+001
5.808025270182681e-008	4.617204e+001
6.296306520182681e-008	4.617205e+001
6.784587770182681e-008	4.617205e+001
7.272869020182681e-008	4.617205e+001
7.761150270182680e-008	4.617205e+001
8.249431520182680e-008	4.617205e+001
8.737712770182680e-008	4.617205e+001
9.225994020182680e-008	4.617205e+001
9.714275270182680e-008	4.617206e+001
1.020255652018268e-007	4.617206e+001
1.069083777018268e-007	4.617206e+001
1.117911902018268e-007	4.617206e+001
1.166740027018268e-007	4.617206e+001
1.215568152018268e-007	4.617206e+001
1.264396277018268e-007	4.617206e+001
1.313224402018268e-007	4.617206e+001
1.362052527018268e-007	4.617206e+001
1.410880652018269e-007	4.617206e+001
1.459708777018269e-007	4.617206e+001
1.508536902018269e-007	4.617206e+001
1.557365027018269e-007	4.617206e+001
1.606193152018269e-007	4.617206e+001
1.655021277018269e-007	4.617206e+001
1.703849402018269e-007	4.617206e+001
1.752677527018269e-007	4.617206e+001
1.801505652018270e-007	4.617206e+001
1.850333777018270e-007	4.617206e+001
