time	Id(M1)
0.000000000000000e+000	1.257661e-010
4.882812226379360e-014	-8.790976e-006
9.765624452758720e-014	-1.169915e-005
1.953124890551744e-013	-6.440377e-006
3.906249781103488e-013	6.534583e-006
7.812499562206976e-013	8.776771e-006
1.562499912441395e-012	2.611113e-006
3.124999824882790e-012	5.337864e-007
6.249999649765581e-012	-8.730490e-007
1.249999929953116e-011	-7.184728e-007
2.499999859906232e-011	-4.358528e-007
4.999999719812465e-011	-8.290304e-007
9.999999439624929e-011	-2.382805e-006
1.999999887924986e-010	-5.714900e-006
3.999999775849972e-010	-1.280448e-005
7.199426452111489e-010	-2.392434e-005
1.312946153795480e-009	-4.319592e-005
2.180401499338474e-009	-6.868658e-005
3.426336150685425e-009	-1.003627e-004
5.084721159417898e-009	-1.349614e-004
7.320733565235154e-009	-1.708160e-004
1.024063127972541e-008	-2.039852e-004
1.413494020182681e-008	-2.323257e-004
1.901775270182681e-008	-2.529713e-004
2.390056520182681e-008	-2.639710e-004
2.878337770182681e-008	-2.694941e-004
3.366619020182681e-008	-2.722880e-004
3.854900270182681e-008	-2.737192e-004
4.343181520182681e-008	-2.744674e-004
4.831462770182681e-008	-2.748714e-004
5.319744020182681e-008	-2.751001e-004
5.808025270182681e-008	-2.752380e-004
6.296306520182681e-008	-2.753276e-004
6.784587770182681e-008	-2.753905e-004
7.272869020182681e-008	-2.754378e-004
7.761150270182680e-008	-2.754751e-004
8.249431520182680e-008	-2.755058e-004
8.737712770182680e-008	-2.755316e-004
9.225994020182680e-008	-2.755536e-004
9.714275270182680e-008	-2.755726e-004
1.020255652018268e-007	-2.755890e-004
1.069083777018268e-007	-2.756033e-004
1.117911902018268e-007	-2.756158e-004
1.166740027018268e-007	-2.756268e-004
1.215568152018268e-007	-2.756364e-004
1.264396277018268e-007	-2.756448e-004
1.313224402018268e-007	-2.756522e-004
1.362052527018268e-007	-2.756587e-004
1.410880652018269e-007	-2.756645e-004
1.459708777018269e-007	-2.756696e-004
1.508536902018269e-007	-2.756741e-004
1.557365027018269e-007	-2.756781e-004
1.606193152018269e-007	-2.756818e-004
1.655021277018269e-007	-2.756850e-004
1.703849402018269e-007	-2.756879e-004
1.752677527018269e-007	-2.756906e-004
1.801505652018270e-007	-2.756930e-004
1.850333777018270e-007	-2.756952e-004
1.899161902018270e-007	-2.756972e-004
1.947990027018270e-007	-2.756990e-004
1.996818152018270e-007	-2.757007e-004
2.045646277018270e-007	-2.757023e-004
2.094474402018270e-007	-2.757038e-004
2.143302527018270e-007	-2.757052e-004
2.192130652018271e-007	-2.757066e-004
2.240958777018271e-007	-2.757078e-004
2.289786902018271e-007	-2.757090e-004
2.338615027018271e-007	-2.757102e-004
2.387443152018271e-007	-2.757113e-004
2.436271277018271e-007	-2.757123e-004
2.485099402018271e-007	-2.757134e-004
2.533927527018272e-007	-2.757144e-004
2.582755652018272e-007	-2.757154e-004
2.631583777018272e-007	-2.757163e-004
2.680411902018272e-007	-2.757173e-004
2.778068152018272e-007	-2.757191e-004
2.875724402018272e-007	-2.757209e-004
2.973380652018273e-007	-2.757226e-004
3.119865027018273e-007	-2.757252e-004
3.266349402018273e-007	-2.757278e-004
3.384931991303988e-007	-2.757298e-004
3.503514580589703e-007	-2.757318e-004
3.622097169875417e-007	-2.757339e-004
3.740679759161132e-007	-2.757359e-004
3.859262348446847e-007	-2.757379e-004
3.977844937732561e-007	-2.757399e-004
