time	V(OUT)*Id(M1)+V(N144)*Ig(M1)
0.000000000000000e+000	5.806863e-009
4.882812226379360e-014	-4.058964e-004
9.765624452758720e-014	-5.401726e-004
1.953124890551744e-013	-2.973647e-004
3.906249781103488e-013	3.017144e-004
7.812499562206976e-013	4.052406e-004
1.562499912441395e-012	1.205602e-004
3.124999824882790e-012	2.464596e-005
6.249999649765581e-012	-4.031036e-005
1.249999929953116e-011	-3.317326e-005
2.499999859906232e-011	-2.012408e-005
4.999999719812465e-011	-3.827758e-005
9.999999439624929e-011	-1.100173e-004
1.999999887924986e-010	-2.638623e-004
3.999999775849972e-010	-5.911852e-004
7.199426452111489e-010	-1.104563e-003
1.312946153795480e-009	-1.994214e-003
2.180401499338474e-009	-3.170806e-003
3.426336150685425e-009	-4.632609e-003
5.084721159417898e-009	-6.228783e-003
7.320733565235154e-009	-7.882092e-003
1.024063127972541e-008	-9.410369e-003
1.413494020182681e-008	-1.071433e-002
1.901775270182681e-008	-1.166174e-002
2.390056520182681e-008	-1.216389e-002
2.878337770182681e-008	-1.241337e-002
3.366619020182681e-008	-1.253699e-002
3.854900270182681e-008	-1.259778e-002
4.343181520182681e-008	-1.262710e-002
4.831462770182681e-008	-1.264056e-002
5.319744020182681e-008	-1.264595e-002
5.808025270182681e-008	-1.264716e-002
6.296306520182681e-008	-1.264615e-002
6.784587770182681e-008	-1.264391e-002
7.272869020182681e-008	-1.264095e-002
7.761150270182680e-008	-1.263753e-002
8.249431520182680e-008	-1.263380e-002
8.737712770182680e-008	-1.262985e-002
9.225994020182680e-008	-1.262572e-002
9.714275270182680e-008	-1.262145e-002
1.020255652018268e-007	-1.261707e-002
1.069083777018268e-007	-1.261259e-002
1.117911902018268e-007	-1.260802e-002
1.166740027018268e-007	-1.260338e-002
1.215568152018268e-007	-1.259868e-002
1.264396277018268e-007	-1.259393e-002
1.313224402018268e-007	-1.258913e-002
1.362052527018268e-007	-1.258429e-002
1.410880652018269e-007	-1.257941e-002
1.459708777018269e-007	-1.257450e-002
1.508536902018269e-007	-1.256957e-002
1.557365027018269e-007	-1.256461e-002
1.606193152018269e-007	-1.255964e-002
1.655021277018269e-007	-1.255465e-002
1.703849402018269e-007	-1.254964e-002
1.752677527018269e-007	-1.254462e-002
1.801505652018270e-007	-1.253959e-002
1.850333777018270e-007	-1.253455e-002
1.899161902018270e-007	-1.252950e-002
1.947990027018270e-007	-1.252444e-002
1.996818152018270e-007	-1.251937e-002
2.045646277018270e-007	-1.251431e-002
2.094474402018270e-007	-1.250923e-002
2.143302527018270e-007	-1.250415e-002
2.192130652018271e-007	-1.249907e-002
2.240958777018271e-007	-1.249399e-002
2.289786902018271e-007	-1.248890e-002
2.338615027018271e-007	-1.248381e-002
2.387443152018271e-007	-1.247872e-002
2.436271277018271e-007	-1.247363e-002
2.485099402018271e-007	-1.246853e-002
2.533927527018272e-007	-1.246344e-002
2.582755652018272e-007	-1.245834e-002
2.631583777018272e-007	-1.245324e-002
2.680411902018272e-007	-1.244814e-002
2.778068152018272e-007	-1.243794e-002
2.875724402018272e-007	-1.242774e-002
2.973380652018273e-007	-1.241753e-002
3.119865027018273e-007	-1.240223e-002
3.266349402018273e-007	-1.238691e-002
3.384931991303988e-007	-1.237452e-002
3.503514580589703e-007	-1.236212e-002
3.622097169875417e-007	-1.234973e-002
3.740679759161132e-007	-1.233733e-002
3.859262348446847e-007	-1.232493e-002
3.977844937732561e-007	-1.231254e-002
4.096427527018276e-007	-1.230014e-002
4.821873955589706e-007	-1.222430e-002
5.547320384161138e-007	-1.214846e-002
6.272766812732568e-007	-1.207262e-002
6.998213241303998e-007	-1.199678e-002
7.723659669875429e-007	-1.192093e-002
8.449106098446860e-007	-1.184509e-002
9.174552527018288e-007	-1.176925e-002
1.366674002701830e-006	-1.129962e-002
2.577611502701804e-006	-1.003365e-002
2.582494315201804e-006	-6.812956e-003
2.587377127701804e-006	1.098633e-002
2.592259940201804e-006	5.648369e-002
2.597142752701803e-006	1.345238e-001
2.602025565201803e-006	2.448177e-001
2.606908377701803e-006	3.870715e-001
2.611791190201803e-006	5.610279e-001
2.616674002701803e-006	7.664574e-001
2.621556815201802e-006	1.003154e+000
2.626439627701802e-006	1.270929e+000
2.631322440201802e-006	1.569609e+000
2.636205252701802e-006	1.899030e+000
2.641088065201802e-006	2.259040e+000
2.645970877701801e-006	2.649491e+000
2.650853690201801e-006	3.070241e+000
