time	Id(M1)
0.000000000000000e+000	1.257661e-010
9.765624940649698e-012	-4.437834e-007
1.953124988129940e-011	-8.679862e-007
3.906249976259879e-011	-1.662262e-006
7.812499952519758e-011	-3.162245e-006
1.562499990503952e-010	-6.068242e-006
3.124999981007903e-010	-1.175148e-005
6.249999962015806e-010	-2.270276e-005
1.180775115643149e-009	-4.101514e-005
1.986878997707171e-009	-6.516877e-005
3.152633191696289e-009	-9.565176e-005
4.713459977814556e-009	-1.295252e-004
6.825385808527684e-009	-1.652516e-004
9.585477220643248e-009	-1.989156e-004
1.326192742759337e-008	-2.281320e-004
1.813836697754939e-008	-2.502500e-004
2.484830483324450e-008	-2.646910e-004
3.439222508287573e-008	-2.721772e-004
4.910087366029926e-008	-2.749695e-004
7.451944550154457e-008	-2.755799e-004
1.253565891840352e-007	-2.756739e-004
2.270308765490165e-007	-2.757480e-004
4.303794512789790e-007	-2.757987e-004
8.370766007389041e-007	-2.758687e-004
1.650470899658754e-006	6.340651e-003
2.627033399658755e-006	1.707575e+000
3.247445030438836e-006	6.430821e+000
3.569325859562694e-006	1.122849e+001
3.783268842432384e-006	1.522389e+001
3.970052255673284e-006	1.884306e+001
4.120570661054884e-006	2.168088e+001
4.231745604025418e-006	2.315772e+001
4.287037981843643e-006	2.209686e+001
4.318125553671390e-006	1.993127e+001
4.348533101733493e-006	1.671253e+001
4.360440252581086e-006	1.452594e+001
4.368657167234920e-006	1.268425e+001
4.376982119580700e-006	1.138155e+001
4.384969241839470e-006	1.070705e+001
4.393505610494252e-006	1.035566e+001
4.403311926243393e-006	1.017389e+001
4.417152425905869e-006	1.007191e+001
4.432863012135187e-006	1.003317e+001
4.460560615423777e-006	1.001707e+001
4.491549880662535e-006	1.001336e+001
4.553528411140052e-006	1.001222e+001
4.648375047090522e-006	1.001091e+001
4.810306728099062e-006	1.000913e+001
5.000000000000000e-006	1.000459e+001
5.018969327190095e-006	1.000378e+001
5.056907981570283e-006	1.000151e+001
5.132785290330658e-006	9.999940e+000
5.284539907851409e-006	9.999994e+000
5.501687069197562e-006	9.999994e+000
5.935981391889867e-006	9.999990e+000
6.804570037274478e-006	9.999991e+000
7.781132537274479e-006	9.999991e+000
8.757695037274480e-006	9.999991e+000
9.734257537274481e-006	9.999991e+000
1.071082003727448e-005	9.999991e+000
1.168738253727448e-005	9.999991e+000
1.266394503727448e-005	9.999991e+000
1.364050753727448e-005	9.999991e+000
1.461707003727449e-005	9.999991e+000
1.559363253727449e-005	9.999991e+000
1.657019503727449e-005	9.999991e+000
1.754675753727449e-005	9.999991e+000
1.852332003727449e-005	9.999991e+000
1.949988253727449e-005	9.999991e+000
2.047644503727449e-005	9.999991e+000
2.145300753727449e-005	9.999991e+000
2.242957003727449e-005	9.999991e+000
2.340613253727449e-005	9.999991e+000
2.438269503727449e-005	9.999991e+000
2.535925753727450e-005	9.999991e+000
2.633582003727450e-005	9.999991e+000
2.731238253727450e-005	9.999991e+000
2.828894503727450e-005	9.999991e+000
2.926550753727450e-005	9.999992e+000
3.024207003727450e-005	9.999992e+000
3.121863253727450e-005	9.999991e+000
3.219519503727450e-005	9.999991e+000
3.317175753727450e-005	9.999991e+000
3.414832003727450e-005	9.999991e+000
3.512488253727450e-005	9.999991e+000
3.610144503727450e-005	9.999992e+000
3.707800753727450e-005	9.999992e+000
3.805457003727450e-005	9.999991e+000
3.903113253727450e-005	9.999991e+000
4.000769503727450e-005	9.999991e+000
