Freq.	Id(M1)
1.00000000000000e+003	-9.00026792021419e+001
1.25892541179417e+003	-9.00033729156537e+001
1.58489319246111e+003	-9.00042462492161e+001
1.99526231496888e+003	-9.00053457110185e+001
2.51188643150958e+003	-9.00067298513966e+001
3.16227766016838e+003	-9.00084723808436e+001
3.98107170553497e+003	-9.00106660953485e+001
5.01187233627272e+003	-9.00134278180920e+001
6.30957344480193e+003	-9.00169046206491e+001
7.94328234724282e+003	-9.00212816549719e+001
1.00000000000000e+004	-9.00267920131764e+001
1.25892541179417e+004	-9.00337291400901e+001
1.58489319246111e+004	-9.00424624593448e+001
1.99526231496888e+004	-9.00534570447097e+001
2.51188643150958e+004	-9.00672983833283e+001
3.16227766016838e+004	-9.00847235477875e+001
3.98107170553497e+004	-9.01066604334481e+001
5.01187233627273e+004	-9.01342771433885e+001
6.30957344480194e+004	-9.01690441365917e+001
7.94328234724282e+004	-9.02128124205101e+001
1.00000000000000e+005	-9.02679118953868e+001
