Freq.	Id(M1)
1.00000000000000e+003	-1.01241712972060e+002
1.25892541179417e+003	-9.92417129791739e+001
1.58489319246111e+003	-9.72417129904497e+001
1.99526231496888e+003	-9.52417130083202e+001
2.51188643150958e+003	-9.32417130366434e+001
3.16227766016838e+003	-9.12417130815324e+001
3.98107170553497e+003	-8.92417131526767e+001
5.01187233627272e+003	-8.72417132654327e+001
6.30957344480193e+003	-8.52417134441389e+001
7.94328234724282e+003	-8.32417137273688e+001
1.00000000000000e+004	-8.12417141762573e+001
1.25892541179417e+004	-7.92417148876956e+001
1.58489319246111e+004	-7.72417160152448e+001
1.99526231496888e+004	-7.52417178022780e+001
2.51188643150958e+004	-7.32417206345054e+001
3.16227766016838e+004	-7.12417251232091e+001
3.98107170553497e+004	-6.92417322371390e+001
5.01187233627273e+004	-6.72417435114907e+001
6.30957344480194e+004	-6.52417613789602e+001
7.94328234724282e+004	-6.32417896940448e+001
1.00000000000000e+005	-6.12418345630339e+001
