Freq.	Id(M1)
1.00000000000000e+003	-9.00026800778678e+001
1.25892541179417e+003	-9.00033740181272e+001
1.58489319246111e+003	-9.00042476371478e+001
1.99526231496888e+003	-9.00053474583206e+001
2.51188643150958e+003	-9.00067320511189e+001
3.16227766016838e+003	-9.00084751501285e+001
3.98107170553497e+003	-9.00106695816688e+001
5.01187233627272e+003	-9.00134322071035e+001
6.30957344480193e+003	-9.00169101460758e+001
7.94328234724282e+003	-9.00212886110493e+001
1.00000000000000e+004	-9.00268007703136e+001
1.25892541179417e+004	-9.00337401645820e+001
1.58489319246111e+004	-9.00424763381772e+001
1.99526231496888e+004	-9.00534745167642e+001
2.51188643150958e+004	-9.00673203786225e+001
3.16227766016838e+004	-9.00847512367878e+001
3.98107170553497e+004	-9.01066952889722e+001
5.01187233627273e+004	-9.01343210181845e+001
6.30957344480194e+004	-9.01690993603004e+001
7.94328234724282e+004	-9.02128819203342e+001
1.00000000000000e+005	-9.02679993452190e+001
