Freq.	Id(M1)
1.00000000000000e+003	-1.01247404350310e+002
1.25892541179417e+003	-9.92474043573982e+001
1.58489319246111e+003	-9.72474043686321e+001
1.99526231496888e+003	-9.52474043864368e+001
2.51188643150958e+003	-9.32474044146554e+001
3.16227766016838e+003	-9.12474044593787e+001
3.98107170553497e+003	-8.92474045302604e+001
5.01187233627272e+003	-8.72474046426004e+001
6.30957344480193e+003	-8.52474048206469e+001
7.94328234724282e+003	-8.32474051028316e+001
1.00000000000000e+004	-8.12474055500633e+001
1.25892541179417e+004	-7.92474062588760e+001
1.58489319246111e+004	-7.72474073822639e+001
1.99526231496888e+004	-7.52474091627022e+001
2.51188643150958e+004	-7.32474119844780e+001
3.16227766016838e+004	-7.12474164566187e+001
3.98107170553497e+004	-6.92474235443020e+001
5.01187233627273e+004	-6.72474347770664e+001
6.30957344480194e+004	-6.52474525786510e+001
7.94328234724282e+004	-6.32474807893810e+001
1.00000000000000e+005	-6.12475254931453e+001
