rload	V(OUT)*I(R3)	V(out)	I(R3)
Step Information: Ifail=1  (Run: 1/4)
6.309573444801968e-019	5.078767e-017	5.660818e-018	8.971791e+000
6.606934480075998e-019	5.318122e-017	5.927604e-018	8.971791e+000
6.918309709189405e-019	5.568757e-017	6.206963e-018	8.971791e+000
7.244359600749944e-019	5.831205e-017	6.499488e-018	8.971791e+000
7.585775750291883e-019	6.106021e-017	6.805799e-018	8.971791e+000
7.943282347242863e-019	6.393789e-017	7.126546e-018	8.971791e+000
8.317637711026761e-019	6.695119e-017	7.462411e-018	8.971791e+000
8.709635899560860e-019	7.010650e-017	7.814103e-018	8.971791e+000
9.120108393559154e-019	7.341052e-017	8.182371e-018	8.971791e+000
9.549925860214419e-019	7.687025e-017	8.567994e-018	8.971791e+000
1.000000000000006e-018	8.049304e-017	8.971791e-018	8.971791e+000
1.047128548050906e-018	8.428656e-017	9.394619e-018	8.971791e+000
1.096478196143192e-018	8.825886e-017	9.837373e-018	8.971791e+000
1.148153621496890e-018	9.241837e-017	1.030099e-017	8.971791e+000
1.202264434617421e-018	9.677391e-017	1.078646e-017	8.971791e+000
1.258925411794175e-018	1.013347e-016	1.129482e-017	8.971791e+000
1.318256738556416e-018	1.061105e-016	1.182712e-017	8.971791e+000
1.380384264602894e-018	1.111113e-016	1.238452e-017	8.971791e+000
1.445439770745937e-018	1.163478e-016	1.296818e-017	8.971791e+000
1.513561248436219e-018	1.218311e-016	1.357936e-017	8.971791e+000
1.584893192461124e-018	1.275729e-016	1.421933e-017	8.971791e+000
1.659586907437572e-018	1.335852e-016	1.488947e-017	8.971791e+000
1.737800828749388e-018	1.398809e-016	1.559118e-017	8.971791e+000
1.819700858609997e-018	1.464732e-016	1.632598e-017	8.971791e+000
1.905460717963261e-018	1.533763e-016	1.709539e-017	8.971791e+000
1.995262314968894e-018	1.606047e-016	1.790108e-017	8.971791e+000
2.089296130854055e-018	1.681738e-016	1.874473e-017	8.971791e+000
2.187761623949569e-018	1.760996e-016	1.962814e-017	8.971791e+000
2.290867652767790e-018	1.843989e-016	2.055318e-017	8.971791e+000
2.398832919019509e-018	1.930893e-016	2.152183e-017	8.971791e+000
2.511886431509600e-018	2.021894e-016	2.253612e-017	8.971791e+000
2.630267991895403e-018	2.117182e-016	2.359821e-017	8.971791e+000
2.754228703338188e-018	2.216962e-016	2.471036e-017	8.971791e+000
2.884031503126629e-018	2.321444e-016	2.587493e-017	8.971791e+000
3.019951720402040e-018	2.430851e-016	2.709438e-017	8.971791e+000
3.162277660168405e-018	2.545413e-016	2.837129e-017	8.971791e+000
3.311311214825938e-018	2.665375e-016	2.970839e-017	8.971791e+000
3.467368504525345e-018	2.790990e-016	3.110851e-017	8.971791e+000
3.630780547701043e-018	2.922525e-016	3.257460e-017	8.971791e+000
3.801893963205643e-018	3.060260e-016	3.410980e-017	8.971791e+000
3.981071705535006e-018	3.204486e-016	3.571734e-017	8.971791e+000
4.168693834703389e-018	3.355508e-016	3.740065e-017	8.971791e+000
4.365158322401697e-018	3.513648e-016	3.916329e-017	8.971791e+000
4.570881896148790e-018	3.679242e-016	4.100900e-017	8.971791e+000
4.786300923226425e-018	3.852639e-016	4.294169e-017	8.971791e+000
5.011872336272767e-018	4.034208e-016	4.496547e-017	8.971791e+000
5.248074602497773e-018	4.224335e-016	4.708463e-017	8.971791e+000
5.495408738576295e-018	4.423421e-016	4.930366e-017	8.971791e+000
5.754399373371622e-018	4.631891e-016	5.162727e-017	8.971791e+000
6.025595860743633e-018	4.850185e-016	5.406039e-017	8.971791e+000
6.309573444801991e-018	5.078767e-016	5.660817e-017	8.971791e+000
6.606934480076022e-018	5.318122e-016	5.927603e-017	8.971791e+000
6.918309709189430e-018	5.568757e-016	6.206963e-017	8.971791e+000
7.244359600749970e-018	5.831205e-016	6.499488e-017	8.971791e+000
7.585775750291912e-018	6.106021e-016	6.805799e-017	8.971791e+000
7.943282347242893e-018	6.393789e-016	7.126547e-017	8.971791e+000
8.317637711026792e-018	6.695119e-016	7.462411e-017	8.971791e+000
8.709635899560892e-018	7.010650e-016	7.814103e-017	8.971791e+000
9.120108393559187e-018	7.341052e-016	8.182371e-017	8.971791e+000
9.549925860214455e-018	7.687025e-016	8.567994e-017	8.971791e+000
1.000000000000010e-017	8.049303e-016	8.971791e-017	8.971791e+000
1.047128548050910e-017	8.428656e-016	9.394618e-017	8.971791e+000
1.096478196143196e-017	8.825886e-016	9.837373e-017	8.971791e+000
1.148153621496895e-017	9.241837e-016	1.030099e-016	8.971791e+000
1.202264434617425e-017	9.677391e-016	1.078646e-016	8.971791e+000
1.258925411794180e-017	1.013347e-015	1.129482e-016	8.971791e+000
1.318256738556421e-017	1.061105e-015	1.182712e-016	8.971791e+000
1.380384264602900e-017	1.111113e-015	1.238452e-016	8.971791e+000
1.445439770745943e-017	1.163478e-015	1.296818e-016	8.971791e+000
1.513561248436225e-017	1.218311e-015	1.357936e-016	8.971791e+000
1.584893192461131e-017	1.275729e-015	1.421933e-016	8.971791e+000
1.659586907437579e-017	1.335852e-015	1.488947e-016	8.971791e+000
