V(out)	I(R_load)	power
2.754045e-017	9.999333e+000	2.75386145e-16	
2.883839e-017	9.999333e+000	2.88364711e-16	
3.019751e-017	9.999333e+000	3.0195496e-16	
3.162067e-017	9.999333e+000	3.16185579e-16	
3.311091e-017	9.999333e+000	3.31087082e-16	
3.467137e-017	9.999333e+000	3.46690594e-16	
3.630539e-017	9.999333e+000	3.63029684e-16	
3.801641e-017	9.999333e+000	3.80138681e-16	
3.980806e-017	9.999333e+000	3.98054051e-16	
4.168416e-017	9.999333e+000	4.16813788e-16	
4.364867e-017	9.999333e+000	4.36457558e-16	
4.570577e-017	9.999333e+000	4.5702717e-16	
4.785982e-017	9.999333e+000	4.78566261e-16	
5.011538e-017	9.999333e+000	5.01120451e-16	
5.247725e-017	9.999333e+000	5.24737498e-16	
5.495043e-017	9.999333e+000	5.494676e-16	
5.754016e-017	9.999333e+000	5.75363242e-16	
6.025194e-017	9.999333e+000	6.024792e-16	
6.309153e-017	9.999333e+000	6.30873303e-16	
6.606494e-017	9.999333e+000	6.6060536e-16	
6.917848e-017	9.999333e+000	6.91738692e-16	
7.243877e-017	9.999333e+000	7.24339362e-16	
7.585270e-017	9.999333e+000	7.5847649e-16	
7.942753e-017	9.999333e+000	7.94222397e-16	
8.317083e-017	9.999333e+000	8.31652914e-16	
8.709056e-017	9.999333e+000	8.70847536e-16	
9.119501e-017	9.999333e+000	9.11889262e-16	
9.549289e-017	9.999333e+000	9.54865218e-16	
9.999334e-017	9.999333e+000	9.99866794e-16	
1.047059e-016	9.999333e+000	1.0469898e-15	
1.096405e-016	9.999333e+000	1.09633191e-15	
1.148077e-016	9.999333e+000	1.14800082e-15	
1.202184e-016	9.999333e+000	1.20210336e-15	
1.258842e-016	9.999333e+000	1.25875851e-15	
1.318169e-016	9.999333e+000	1.31808073e-15	
1.380292e-016	9.999333e+000	1.3801997e-15	
1.445343e-016	9.999333e+000	1.44524663e-15	
1.513460e-016	9.999333e+000	1.51335886e-15	
1.584788e-016	9.999333e+000	1.58468283e-15	
1.659476e-016	9.999333e+000	1.65936505e-15	
1.737685e-016	9.999333e+000	1.73756876e-15	
1.819580e-016	9.999333e+000	1.81945874e-15	
1.905334e-016	9.999333e+000	1.90520741e-15	
1.995129e-016	9.999333e+000	1.99499635e-15	
2.089157e-016	9.999333e+000	2.08901779e-15	
2.187616e-016	9.999333e+000	2.1874701e-15	
2.290715e-016	9.999333e+000	2.29056227e-15	
2.398673e-016	9.999333e+000	2.39851253e-15	
2.511719e-016	9.999333e+000	2.51155125e-15	
2.630093e-016	9.999333e+000	2.629918e-15	
2.754045e-016	9.999333e+000	2.75386145e-15	
2.883839e-016	9.999333e+000	2.88364711e-15	
3.019751e-016	9.999333e+000	3.0195496e-15	
3.162067e-016	9.999333e+000	3.16185579e-15	
3.311091e-016	9.999333e+000	3.31087082e-15	
3.467137e-016	9.999333e+000	3.46690594e-15	
3.630539e-016	9.999333e+000	3.63029684e-15	
3.801641e-016	9.999333e+000	3.80138681e-15	
3.980807e-016	9.999333e+000	3.98054204e-15	
4.168416e-016	9.999333e+000	4.16813788e-15	
4.364867e-016	9.999333e+000	4.36457558e-15	
4.570578e-016	9.999333e+000	4.57027322e-15	
4.785982e-016	9.999333e+000	4.78566261e-15	
5.011538e-016	9.999333e+000	5.01120451e-15	
5.247725e-016	9.999333e+000	5.24737498e-15	
5.495043e-016	9.999333e+000	5.494676e-15	
5.754016e-016	9.999333e+000	5.75363242e-15	
6.025194e-016	9.999333e+000	6.024792e-15	
6.309153e-016	9.999333e+000	6.30873303e-15	
