V(out)	power output	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
3.493048e+001	3.48611006e2	
