V(out)	I(R_load)
9.469403e-016	9.915682e+000
9.915681e-016	9.915682e+000
1.038299e-015	9.915682e+000
1.087233e-015	9.915682e+000
1.138473e-015	9.915682e+000
1.192127e-015	9.915682e+000
1.248310e-015	9.915682e+000
1.307141e-015	9.915682e+000
1.368745e-015	9.915682e+000
1.433252e-015	9.915682e+000
1.500799e-015	9.915682e+000
1.571530e-015	9.915682e+000
1.645594e-015	9.915682e+000
1.723148e-015	9.915682e+000
1.804357e-015	9.915682e+000
1.889394e-015	9.915682e+000
1.978439e-015	9.915682e+000
2.071680e-015	9.915682e+000
2.169315e-015	9.915682e+000
2.271551e-015	9.915682e+000
2.378606e-015	9.915682e+000
2.490707e-015	9.915682e+000
2.608090e-015	9.915682e+000
2.731006e-015	9.915682e+000
2.859714e-015	9.915682e+000
2.994488e-015	9.915682e+000
3.135614e-015	9.915682e+000
3.283391e-015	9.915682e+000
3.438132e-015	9.915682e+000
3.600167e-015	9.915682e+000
3.769837e-015	9.915682e+000
3.947504e-015	9.915682e+000
4.133544e-015	9.915682e+000
4.328352e-015	9.915682e+000
4.532341e-015	9.915682e+000
4.745943e-015	9.915682e+000
4.969613e-015	9.915682e+000
5.203824e-015	9.915682e+000
5.449072e-015	9.915682e+000
5.705879e-015	9.915682e+000
5.974789e-015	9.915682e+000
6.256372e-015	9.915682e+000
6.551226e-015	9.915682e+000
6.859975e-015	9.915682e+000
7.183276e-015	9.915682e+000
7.521814e-015	9.915682e+000
7.876306e-015	9.915682e+000
8.247505e-015	9.915682e+000
8.636198e-015	9.915682e+000
9.043209e-015	9.915682e+000
9.469402e-015	9.915682e+000
9.915682e-015	9.915682e+000
1.038299e-014	9.915682e+000
1.087233e-014	9.915682e+000
1.138473e-014	9.915682e+000
1.192127e-014	9.915682e+000
1.248310e-014	9.915682e+000
1.307141e-014	9.915682e+000
1.368745e-014	9.915682e+000
1.433252e-014	9.915682e+000
1.500799e-014	9.915682e+000
1.571530e-014	9.915682e+000
1.645594e-014	9.915682e+000
1.723148e-014	9.915682e+000
1.804357e-014	9.915682e+000
1.889394e-014	9.915682e+000
1.978439e-014	9.915682e+000
2.071679e-014	9.915682e+000
2.169315e-014	9.915682e+000
2.271551e-014	9.915682e+000
2.378606e-014	9.915682e+000
2.490707e-014	9.915682e+000
2.608090e-014	9.915682e+000
2.731005e-014	9.915682e+000
2.859714e-014	9.915682e+000
2.994488e-014	9.915682e+000
3.135614e-014	9.915682e+000
3.283391e-014	9.915682e+000
3.438132e-014	9.915682e+000
3.600166e-014	9.915682e+000
3.769837e-014	9.915682e+000
3.947504e-014	9.915682e+000
4.133544e-014	9.915682e+000
4.328352e-014	9.915682e+000
4.532341e-014	9.915682e+000
4.745944e-014	9.915682e+000
4.969613e-014	9.915682e+000
5.203824e-014	9.915682e+000
5.449072e-014	9.915682e+000
5.705879e-014	9.915682e+000
5.974789e-014	9.915682e+000
6.256372e-014	9.915682e+000
6.551226e-014	9.915682e+000
6.859976e-014	9.915682e+000
7.183276e-014	9.915682e+000
7.521814e-014	9.915682e+000
7.876306e-014	9.915682e+000
8.247505e-014	9.915682e+000
8.636197e-014	9.915682e+000
9.043209e-014	9.915682e+000
9.469402e-014	9.915682e+000
9.915681e-014	9.915682e+000
1.038299e-013	9.915682e+000
1.087233e-013	9.915682e+000
1.138473e-013	9.915682e+000
1.192127e-013	9.915682e+000
1.248310e-013	9.915682e+000
1.307141e-013	9.915682e+000
1.368745e-013	9.915682e+000
1.433252e-013	9.915682e+000
1.500799e-013	9.915682e+000
1.571530e-013	9.915682e+000
1.645594e-013	9.915682e+000
1.723148e-013	9.915682e+000
1.804357e-013	9.915682e+000
1.889394e-013	9.915682e+000
1.978439e-013	9.915682e+000
2.071680e-013	9.915682e+000
2.169315e-013	9.915682e+000
2.271551e-013	9.915682e+000
2.378606e-013	9.915682e+000
2.490706e-013	9.915682e+000
2.608090e-013	9.915682e+000
2.731006e-013	9.915682e+000
2.859714e-013	9.915682e+000
2.994488e-013	9.915682e+000
3.135614e-013	9.915682e+000
3.283391e-013	9.915682e+000
3.438132e-013	9.915682e+000
3.600166e-013	9.915682e+000
3.769837e-013	9.915682e+000
3.947504e-013	9.915682e+000
4.133544e-013	9.915682e+000
4.328352e-013	9.915682e+000
4.532341e-013	9.915682e+000
4.745944e-013	9.915682e+000
4.969613e-013	9.915682e+000
5.203823e-013	9.915682e+000
5.449072e-013	9.915682e+000
5.705879e-013	9.915682e+000
5.974789e-013	9.915682e+000
6.256372e-013	9.915682e+000
6.551226e-013	9.915682e+000
6.859975e-013	9.915682e+000
7.183276e-013	9.915682e+000
7.521814e-013	9.915682e+000
7.876306e-013	9.915682e+000
8.247505e-013	9.915682e+000
8.636198e-013	9.915682e+000
9.043209e-013	9.915682e+000
9.469402e-013	9.915682e+000
9.915682e-013	9.915682e+000
1.038299e-012	9.915682e+000
1.087233e-012	9.915682e+000
1.138473e-012	9.915682e+000
1.192127e-012	9.915682e+000
1.248310e-012	9.915682e+000
1.307141e-012	9.915682e+000
1.368745e-012	9.915682e+000
1.433252e-012	9.915682e+000
1.500799e-012	9.915682e+000
1.571530e-012	9.915682e+000
1.645593e-012	9.915682e+000
1.723148e-012	9.915682e+000
1.804357e-012	9.915682e+000
1.889394e-012	9.915682e+000
1.978439e-012	9.915682e+000
2.071679e-012	9.915682e+000
2.169315e-012	9.915682e+000
2.271551e-012	9.915682e+000
2.378606e-012	9.915682e+000
2.490707e-012	9.915682e+000
2.608090e-012	9.915682e+000
2.731006e-012	9.915682e+000
2.859714e-012	9.915682e+000
2.994488e-012	9.915682e+000
3.135614e-012	9.915682e+000
3.283391e-012	9.915682e+000
3.438132e-012	9.915682e+000
3.600166e-012	9.915682e+000
3.769837e-012	9.915682e+000
3.947504e-012	9.915682e+000
4.133544e-012	9.915682e+000
4.328352e-012	9.915682e+000
4.532341e-012	9.915682e+000
4.745944e-012	9.915682e+000
4.969613e-012	9.915682e+000
5.203823e-012	9.915682e+000
5.449072e-012	9.915682e+000
5.705879e-012	9.915682e+000
5.974789e-012	9.915682e+000
6.256372e-012	9.915682e+000
6.551226e-012	9.915682e+000
6.859976e-012	9.915682e+000
7.183276e-012	9.915682e+000
7.521814e-012	9.915682e+000
7.876306e-012	9.915682e+000
8.247505e-012	9.915682e+000
8.636198e-012	9.915682e+000
9.043209e-012	9.915682e+000
9.469403e-012	9.915682e+000
9.915682e-012	9.915682e+000
1.038299e-011	9.915682e+000
1.087233e-011	9.915682e+000
1.138473e-011	9.915682e+000
1.192127e-011	9.915682e+000
1.248310e-011	9.915682e+000
1.307141e-011	9.915682e+000
1.368745e-011	9.915682e+000
1.433252e-011	9.915682e+000
1.500799e-011	9.915682e+000
1.571530e-011	9.915682e+000
1.645594e-011	9.915682e+000
1.723148e-011	9.915682e+000
1.804357e-011	9.915682e+000
1.889394e-011	9.915682e+000
1.978439e-011	9.915682e+000
2.071679e-011	9.915682e+000
2.169315e-011	9.915682e+000
2.271551e-011	9.915682e+000
2.378606e-011	9.915682e+000
2.490707e-011	9.915682e+000
2.608090e-011	9.915682e+000
2.731006e-011	9.915682e+000
2.859714e-011	9.915682e+000
2.994488e-011	9.915682e+000
3.135614e-011	9.915682e+000
3.283391e-011	9.915682e+000
3.438132e-011	9.915682e+000
3.600166e-011	9.915682e+000
3.769837e-011	9.915682e+000
3.947504e-011	9.915682e+000
4.133544e-011	9.915682e+000
4.328352e-011	9.915682e+000
4.532341e-011	9.915682e+000
4.745944e-011	9.915682e+000
4.969613e-011	9.915682e+000
5.203824e-011	9.915682e+000
5.449072e-011	9.915682e+000
5.705879e-011	9.915682e+000
5.974789e-011	9.915682e+000
6.256372e-011	9.915682e+000
6.551226e-011	9.915682e+000
6.859976e-011	9.915682e+000
7.183276e-011	9.915682e+000
7.521814e-011	9.915682e+000
7.876306e-011	9.915682e+000
8.247505e-011	9.915682e+000
8.636197e-011	9.915682e+000
9.043209e-011	9.915682e+000
9.469402e-011	9.915682e+000
9.915681e-011	9.915682e+000
1.038299e-010	9.915682e+000
1.087233e-010	9.915682e+000
1.138473e-010	9.915682e+000
1.192127e-010	9.915682e+000
1.248310e-010	9.915682e+000
1.307141e-010	9.915682e+000
1.368745e-010	9.915682e+000
1.433252e-010	9.915682e+000
1.500799e-010	9.915682e+000
1.571530e-010	9.915682e+000
1.645594e-010	9.915682e+000
1.723148e-010	9.915682e+000
1.804357e-010	9.915682e+000
1.889394e-010	9.915682e+000
1.978439e-010	9.915682e+000
2.071679e-010	9.915682e+000
2.169315e-010	9.915682e+000
2.271551e-010	9.915682e+000
2.378606e-010	9.915682e+000
2.490707e-010	9.915682e+000
2.608090e-010	9.915682e+000
2.731005e-010	9.915682e+000
2.859714e-010	9.915682e+000
2.994488e-010	9.915682e+000
3.135614e-010	9.915682e+000
3.283391e-010	9.915682e+000
3.438132e-010	9.915682e+000
3.600166e-010	9.915682e+000
3.769837e-010	9.915682e+000
3.947504e-010	9.915682e+000
4.133544e-010	9.915682e+000
4.328352e-010	9.915682e+000
4.532341e-010	9.915682e+000
4.745944e-010	9.915682e+000
4.969613e-010	9.915682e+000
5.203823e-010	9.915682e+000
