V(out)	I(R_load)
8.631294e-020	8.631293e+000
9.038074e-020	8.631293e+000
9.464025e-020	8.631293e+000
9.910051e-020	8.631293e+000
1.037710e-019	8.631293e+000
1.086615e-019	8.631293e+000
1.137826e-019	8.631293e+000
1.191450e-019	8.631293e+000
1.247601e-019	8.631293e+000
1.306399e-019	8.631293e+000
1.367968e-019	8.631293e+000
1.432438e-019	8.631293e+000
1.499947e-019	8.631293e+000
1.570637e-019	8.631293e+000
1.644659e-019	8.631293e+000
1.722169e-019	8.631293e+000
1.803333e-019	8.631293e+000
1.888321e-019	8.631293e+000
1.977315e-019	8.631293e+000
2.070503e-019	8.631293e+000
2.168083e-019	8.631293e+000
2.270262e-019	8.631293e+000
2.377256e-019	8.631293e+000
2.489292e-019	8.631293e+000
2.606609e-019	8.631293e+000
2.729455e-019	8.631293e+000
2.858090e-019	8.631293e+000
2.992788e-019	8.631293e+000
3.133833e-019	8.631293e+000
3.281526e-019	8.631293e+000
3.436180e-019	8.631293e+000
3.598122e-019	8.631293e+000
3.767696e-019	8.631293e+000
3.945262e-019	8.631293e+000
4.131197e-019	8.631293e+000
4.325894e-019	8.631293e+000
4.529767e-019	8.631293e+000
4.743249e-019	8.631293e+000
4.966791e-019	8.631293e+000
5.200869e-019	8.631293e+000
5.445978e-019	8.631293e+000
5.702639e-019	8.631293e+000
5.971396e-019	8.631293e+000
6.252820e-019	8.631293e+000
6.547506e-019	8.631293e+000
6.856080e-019	8.631293e+000
7.179197e-019	8.631293e+000
7.517543e-019	8.631293e+000
7.871833e-019	8.631293e+000
8.242821e-019	8.631293e+000
8.631294e-019	8.631293e+000
9.038074e-019	8.631293e+000
9.464025e-019	8.631293e+000
9.910051e-019	8.631293e+000
1.037710e-018	8.631293e+000
1.086615e-018	8.631293e+000
1.137826e-018	8.631293e+000
1.191450e-018	8.631293e+000
1.247601e-018	8.631293e+000
1.306399e-018	8.631293e+000
1.367968e-018	8.631293e+000
1.432438e-018	8.631293e+000
1.499947e-018	8.631293e+000
1.570637e-018	8.631293e+000
1.644659e-018	8.631293e+000
1.722169e-018	8.631293e+000
1.803333e-018	8.631293e+000
1.888321e-018	8.631293e+000
1.977315e-018	8.631293e+000
2.070503e-018	8.631293e+000
2.168083e-018	8.631293e+000
2.270262e-018	8.631293e+000
2.377256e-018	8.631293e+000
2.489292e-018	8.631293e+000
2.606609e-018	8.631293e+000
2.729455e-018	8.631293e+000
2.858090e-018	8.631293e+000
2.992787e-018	8.631293e+000
3.133833e-018	8.631293e+000
3.281526e-018	8.631293e+000
3.436180e-018	8.631293e+000
3.598122e-018	8.631293e+000
3.767696e-018	8.631293e+000
3.945262e-018	8.631293e+000
4.131197e-018	8.631293e+000
4.325894e-018	8.631293e+000
4.529767e-018	8.631293e+000
4.743248e-018	8.631293e+000
4.966791e-018	8.631293e+000
5.200869e-018	8.631293e+000
5.445978e-018	8.631293e+000
5.702639e-018	8.631293e+000
5.971396e-018	8.631293e+000
6.252820e-018	8.631293e+000
6.547506e-018	8.631293e+000
6.856080e-018	8.631293e+000
7.179197e-018	8.631293e+000
7.517542e-018	8.631293e+000
7.871833e-018	8.631293e+000
8.242821e-018	8.631293e+000
8.631294e-018	8.631293e+000
9.038074e-018	8.631293e+000
9.464025e-018	8.631293e+000
9.910051e-018	8.631293e+000
1.037710e-017	8.631293e+000
1.086615e-017	8.631293e+000
1.137826e-017	8.631293e+000
1.191450e-017	8.631293e+000
1.247602e-017	8.631293e+000
1.306399e-017	8.631293e+000
1.367968e-017	8.631293e+000
1.432438e-017	8.631293e+000
1.499947e-017	8.631293e+000
1.570637e-017	8.631293e+000
1.644659e-017	8.631293e+000
1.722170e-017	8.631293e+000
1.803333e-017	8.631293e+000
1.888321e-017	8.631293e+000
1.977315e-017	8.631293e+000
2.070503e-017	8.631293e+000
2.168083e-017	8.631293e+000
2.270262e-017	8.631293e+000
2.377256e-017	8.631293e+000
2.489292e-017	8.631293e+000
2.606609e-017	8.631293e+000
2.729455e-017	8.631293e+000
2.858090e-017	8.631293e+000
2.992787e-017	8.631293e+000
3.133833e-017	8.631293e+000
3.281526e-017	8.631293e+000
3.436180e-017	8.631293e+000
3.598122e-017	8.631293e+000
3.767696e-017	8.631293e+000
3.945262e-017	8.631293e+000
4.131197e-017	8.631293e+000
4.325894e-017	8.631293e+000
4.529767e-017	8.631293e+000
4.743249e-017	8.631293e+000
4.966791e-017	8.631293e+000
5.200869e-017	8.631293e+000
5.445978e-017	8.631293e+000
5.702639e-017	8.631293e+000
5.971396e-017	8.631293e+000
6.252820e-017	8.631293e+000
6.547506e-017	8.631293e+000
6.856080e-017	8.631293e+000
7.179197e-017	8.631293e+000
7.517542e-017	8.631293e+000
7.871833e-017	8.631293e+000
8.242821e-017	8.631293e+000
8.631294e-017	8.631293e+000
9.038074e-017	8.631293e+000
9.464025e-017	8.631293e+000
9.910051e-017	8.631293e+000
1.037710e-016	8.631293e+000
1.086615e-016	8.631293e+000
1.137826e-016	8.631293e+000
1.191450e-016	8.631293e+000
1.247601e-016	8.631293e+000
1.306399e-016	8.631293e+000
1.367968e-016	8.631293e+000
1.432438e-016	8.631293e+000
1.499947e-016	8.631293e+000
1.570637e-016	8.631293e+000
1.644659e-016	8.631293e+000
1.722170e-016	8.631293e+000
1.803333e-016	8.631293e+000
1.888321e-016	8.631293e+000
1.977315e-016	8.631293e+000
2.070503e-016	8.631293e+000
2.168083e-016	8.631293e+000
2.270261e-016	8.631293e+000
2.377256e-016	8.631293e+000
2.489292e-016	8.631293e+000
2.606609e-016	8.631293e+000
2.729455e-016	8.631293e+000
2.858090e-016	8.631293e+000
2.992788e-016	8.631293e+000
