V(out)	I(R_load)	power
2.377256e-017	8.631293e+000	2.05187859e-16	
2.489292e-017	8.631293e+000	2.14858025e-16	
2.606609e-017	8.631293e+000	2.24984016e-16	
2.729455e-017	8.631293e+000	2.35587299e-16	
2.858090e-017	8.631293e+000	2.46690132e-16	
2.992787e-017	8.631293e+000	2.5831622e-16	
3.133833e-017	8.631293e+000	2.70490326e-16	
3.281526e-017	8.631293e+000	2.8323813e-16	
3.436180e-017	8.631293e+000	2.96586763e-16	
3.598122e-017	8.631293e+000	3.1056441e-16	
3.767696e-017	8.631293e+000	3.25200838e-16	
3.945262e-017	8.631293e+000	3.40527124e-16	
4.131197e-017	8.631293e+000	3.5657567e-16	
4.325894e-017	8.631293e+000	3.73380588e-16	
4.529767e-017	8.631293e+000	3.90977435e-16	
4.743249e-017	8.631293e+000	4.09403749e-16	
4.966791e-017	8.631293e+000	4.2869825e-16	
5.200869e-017	8.631293e+000	4.48902292e-16	
5.445978e-017	8.631293e+000	4.70058284e-16	
5.702639e-017	8.631293e+000	4.922114e-16	
5.971396e-017	8.631293e+000	5.15408656e-16	
6.252820e-017	8.631293e+000	5.39699182e-16	
6.547506e-017	8.631293e+000	5.6513447e-16	
6.856080e-017	8.631293e+000	5.91768388e-16	
7.179197e-017	8.631293e+000	6.19657567e-16	
7.517542e-017	8.631293e+000	6.48861012e-16	
7.871833e-017	8.631293e+000	6.79440886e-16	
8.242821e-017	8.631293e+000	7.11461986e-16	
8.631294e-017	8.631293e+000	7.44992271e-16	
9.038074e-017	8.631293e+000	7.801026e-16	
9.464025e-017	8.631293e+000	8.16867645e-16	
9.910051e-017	8.631293e+000	8.55365508e-16	
1.037710e-016	8.631293e+000	8.9567836e-16	
1.086615e-016	8.631293e+000	9.378892e-16	
1.137826e-016	8.631293e+000	9.8209138e-16	
1.191450e-016	8.631293e+000	1.0283758e-15	
1.247601e-016	8.631293e+000	1.07684122e-15	
1.306399e-016	8.631293e+000	1.12759167e-15	
1.367968e-016	8.631293e+000	1.18073387e-15	
1.432438e-016	8.631293e+000	1.23637973e-15	
1.499947e-016	8.631293e+000	1.29464781e-15	
1.570637e-016	8.631293e+000	1.35566321e-15	
1.644659e-016	8.631293e+000	1.41955368e-15	
1.722170e-016	8.631293e+000	1.4864549e-15	
1.803333e-016	8.631293e+000	1.55650908e-15	
1.888321e-016	8.631293e+000	1.62986505e-15	
1.977315e-016	8.631293e+000	1.70667824e-15	
2.070503e-016	8.631293e+000	1.78711194e-15	
2.168083e-016	8.631293e+000	1.87133606e-15	
2.270261e-016	8.631293e+000	1.9595284e-15	
2.377256e-016	8.631293e+000	2.05187859e-15	
2.489292e-016	8.631293e+000	2.14858025e-15	
2.606609e-016	8.631293e+000	2.24984016e-15	
2.729455e-016	8.631293e+000	2.35587299e-15	
2.858090e-016	8.631293e+000	2.46690132e-15	
2.992788e-016	8.631293e+000	2.58316353e-15	
3.133833e-016	8.631293e+000	2.70490326e-15	
3.281526e-016	8.631293e+000	2.8323813e-15	
3.436180e-016	8.631293e+000	2.96586763e-15	
3.598122e-016	8.631293e+000	3.1056441e-15	
3.767696e-016	8.631293e+000	3.25200838e-15	
3.945262e-016	8.631293e+000	3.40527124e-15	
4.131197e-016	8.631293e+000	3.5657567e-15	
4.325894e-016	8.631293e+000	3.73380588e-15	
4.529767e-016	8.631293e+000	3.90977435e-15	
4.743248e-016	8.631293e+000	4.09403618e-15	
4.966791e-016	8.631293e+000	4.2869825e-15	
5.200869e-016	8.631293e+000	4.48902292e-15	
5.445978e-016	8.631293e+000	4.70058284e-15	
5.702639e-016	8.631293e+000	4.922114e-15	
5.971396e-016	8.631293e+000	5.15408656e-15	
6.252819e-016	8.631293e+000	5.3969905e-15	
6.547506e-016	8.631293e+000	5.6513447e-15	
6.856080e-016	8.631293e+000	5.91768388e-15	
7.179197e-016	8.631293e+000	6.19657567e-15	
7.517542e-016	8.631293e+000	6.48861012e-15	
7.871833e-016	8.631293e+000	6.79440886e-15	
8.242821e-016	8.631293e+000	7.11461986e-15	
8.631293e-016	8.631293e+000	7.4499214e-15	
9.038073e-016	8.631293e+000	7.801026e-15	
9.464025e-016	8.631293e+000	8.16867645e-15	
9.910050e-016	8.631293e+000	8.55365375e-15	
1.037710e-015	8.631293e+000	8.9567836e-15	
1.086615e-015	8.631293e+000	9.378892e-15	
1.137826e-015	8.631293e+000	9.8209138e-15	
1.191450e-015	8.631293e+000	1.0283758e-14	
1.247601e-015	8.631293e+000	1.07684122e-14	
1.306399e-015	8.631293e+000	1.12759167e-14	
1.367968e-015	8.631293e+000	1.18073387e-14	
1.432438e-015	8.631293e+000	1.23637973e-14	
1.499947e-015	8.631293e+000	1.29464781e-14	
1.570637e-015	8.631293e+000	1.35566321e-14	
1.644659e-015	8.631293e+000	1.41955368e-14	
1.722169e-015	8.631293e+000	1.4864549e-14	
1.803333e-015	8.631293e+000	1.55650908e-14	
1.888321e-015	8.631293e+000	1.62986505e-14	
1.977315e-015	8.631293e+000	1.70667824e-14	
2.070503e-015	8.631293e+000	1.78711194e-14	
2.168083e-015	8.631293e+000	1.87133606e-14	
2.270262e-015	8.631293e+000	1.95952971e-14	
2.377256e-015	8.631293e+000	2.05187859e-14	
2.489292e-015	8.631293e+000	2.14858025e-14	
2.606609e-015	8.631293e+000	2.24984016e-14	
2.729455e-015	8.631293e+000	2.35587299e-14	
2.858090e-015	8.631293e+000	2.46690132e-14	
2.992787e-015	8.631293e+000	2.5831622e-14	
3.133833e-015	8.631293e+000	2.70490326e-14	
3.281526e-015	8.631293e+000	2.8323813e-14	
3.436180e-015	8.631293e+000	2.96586763e-14	
3.598122e-015	8.631293e+000	3.1056441e-14	
3.767696e-015	8.631293e+000	3.25200838e-14	
3.945262e-015	8.631293e+000	3.40527124e-14	
4.131197e-015	8.631293e+000	3.5657567e-14	
4.325894e-015	8.631293e+000	3.73380588e-14	
4.529767e-015	8.631293e+000	3.90977435e-14	
4.743249e-015	8.631293e+000	4.09403749e-14	
4.966791e-015	8.631293e+000	4.2869825e-14	
5.200869e-015	8.631293e+000	4.48902292e-14	
5.445978e-015	8.631293e+000	4.70058284e-14	
5.702639e-015	8.631293e+000	4.922114e-14	
5.971396e-015	8.631293e+000	5.15408656e-14	
6.252819e-015	8.631293e+000	5.3969905e-14	
6.547506e-015	8.631293e+000	5.6513447e-14	
6.856080e-015	8.631293e+000	5.91768388e-14	
7.179197e-015	8.631293e+000	6.19657567e-14	
7.517543e-015	8.631293e+000	6.48861143e-14	
7.871833e-015	8.631293e+000	6.79440886e-14	
8.242822e-015	8.631293e+000	7.11462117e-14	
8.631294e-015	8.631293e+000	7.44992271e-14	
9.038074e-015	8.631293e+000	7.801026e-14	
9.464025e-015	8.631293e+000	8.16867645e-14	
9.910051e-015	8.631293e+000	8.55365508e-14	
1.037710e-014	8.631293e+000	8.9567836e-14	
1.086615e-014	8.631293e+000	9.378892e-14	
1.137826e-014	8.631293e+000	9.8209138e-14	
1.191450e-014	8.631293e+000	1.0283758e-13	
1.247602e-014	8.631293e+000	1.07684122e-13	
1.306399e-014	8.631293e+000	1.12759167e-13	
1.367968e-014	8.631293e+000	1.18073387e-13	
1.432438e-014	8.631293e+000	1.23637973e-13	
1.499947e-014	8.631293e+000	1.29464781e-13	
1.570637e-014	8.631293e+000	1.35566321e-13	
1.644659e-014	8.631293e+000	1.41955368e-13	
1.722169e-014	8.631293e+000	1.4864549e-13	
1.803333e-014	8.631293e+000	1.55650908e-13	
1.888321e-014	8.631293e+000	1.62986505e-13	
1.977315e-014	8.631293e+000	1.70667824e-13	
2.070503e-014	8.631293e+000	1.78711194e-13	
2.168083e-014	8.631293e+000	1.87133606e-13	
2.270262e-014	8.631293e+000	1.95952971e-13	
2.377256e-014	8.631293e+000	2.05187859e-13	
2.489292e-014	8.631293e+000	2.14858025e-13	
2.606609e-014	8.631293e+000	2.24984016e-13	
2.729455e-014	8.631293e+000	2.35587299e-13	
2.858090e-014	8.631293e+000	2.46690132e-13	
2.992788e-014	8.631293e+000	2.58316353e-13	
3.133833e-014	8.631293e+000	2.70490326e-13	
3.281526e-014	8.631293e+000	2.8323813e-13	
3.436180e-014	8.631293e+000	2.96586763e-13	
3.598122e-014	8.631293e+000	3.1056441e-13	
3.767696e-014	8.631293e+000	3.25200838e-13	
3.945262e-014	8.631293e+000	3.40527124e-13	
4.131197e-014	8.631293e+000	3.5657567e-13	
