V(out)	I(R3)	power
8.811076e-037	5.888829e+000	5.188692e-036	
9.333165e-037	5.888829e+000	5.496141e-036	
9.886190e-037	5.888829e+000	5.821808e-036	
1.047198e-036	5.888829e+000	6.166771e-036	
1.109249e-036	5.888829e+000	6.532176e-036	
1.174976e-036	5.888829e+000	6.919231e-036	
1.244598e-036	5.888829e+000	7.329222e-036	
1.318345e-036	5.888829e+000	7.763505e-036	
1.396461e-036	5.888829e+000	8.223522e-036	
1.479207e-036	5.888829e+000	8.710797e-036	
1.566855e-036	5.888829e+000	9.226943e-036	
1.659698e-036	5.888829e+000	9.773675e-036	
1.758041e-036	5.888829e+000	1.035280e-035	
1.862211e-036	5.888829e+000	1.096624e-035	
1.972554e-036	5.888829e+000	1.161603e-035	
2.089435e-036	5.888829e+000	1.230433e-035	
2.213242e-036	5.888829e+000	1.303340e-035	
2.344385e-036	5.888829e+000	1.380568e-035	
2.483299e-036	5.888829e+000	1.462372e-035	
2.630443e-036	5.888829e+000	1.549023e-035	
2.786307e-036	5.888829e+000	1.640808e-035	
2.951406e-036	5.888829e+000	1.738032e-035	
3.126288e-036	5.888829e+000	1.841017e-035	
3.311532e-036	5.888829e+000	1.950104e-035	
3.507753e-036	5.888829e+000	2.065655e-035	
3.715600e-036	5.888829e+000	2.188053e-035	
3.935763e-036	5.888829e+000	2.317703e-035	
4.168972e-036	5.888829e+000	2.455036e-035	
4.415999e-036	5.888829e+000	2.600506e-035	
4.677663e-036	5.888829e+000	2.754596e-035	
4.954832e-036	5.888829e+000	2.917816e-035	
5.248424e-036	5.888829e+000	3.090707e-035	
5.559413e-036	5.888829e+000	3.273843e-035	
5.888829e-036	5.888829e+000	3.467830e-035	
6.237764e-036	5.888829e+000	3.673312e-035	
6.607375e-036	5.888829e+000	3.890970e-035	
6.998886e-036	5.888829e+000	4.121524e-035	
7.413596e-036	5.888829e+000	4.365740e-035	
7.852880e-036	5.888829e+000	4.624426e-035	
8.318192e-036	5.888829e+000	4.898441e-035	
8.811076e-036	5.888829e+000	5.188692e-035	
9.333165e-036	5.888829e+000	5.496141e-035	
