time	power	V(out)	Id(Mos1)
8.013320312500007e-004	4.241550e-004	4.614767e+001	9.191255e-006
8.023085937500007e-004	1.167209e-003	4.614758e+001	2.529295e-005
8.032851562500007e-004	2.241912e-003	4.614750e+001	4.858143e-005
8.040234375000001e-004	3.326562e-003	4.614743e+001	7.208552e-005
8.050000000000001e-004	5.025449e-003	4.614734e+001	1.089001e-004
8.550000000000001e-004	5.025491e-003	4.614772e+001	1.089001e-004
8.552929687500000e-004	4.461523e-003	4.614808e+001	9.667842e-005
8.556835937500000e-004	3.775972e-003	4.614806e+001	8.182298e-005
8.564648437500000e-004	2.588910e-003	4.614801e+001	5.610014e-005
8.574414062500000e-004	1.411819e-003	4.614795e+001	3.059332e-005
8.584179687500000e-004	5.625516e-004	4.614789e+001	1.219019e-005
8.590234375000001e-004	2.511412e-004	4.614785e+001	5.442101e-006
8.600000000000001e-004	4.259698e-009	4.614779e+001	9.230558e-011
9.000000000000001e-004	4.259695e-009	4.614777e+001	9.230555e-011
9.000429687500001e-004	7.465504e-007	4.614777e+001	1.617739e-008
9.001289062500002e-004	4.829149e-006	4.614776e+001	1.046454e-007
9.003007812500003e-004	2.412870e-005	4.614775e+001	5.228575e-007
9.006445312500004e-004	1.072652e-004	4.614772e+001	2.324387e-006
9.013320312500008e-004	4.241550e-004	4.614767e+001	9.191255e-006
9.023085937500008e-004	1.167209e-003	4.614758e+001	2.529295e-005
9.032851562500008e-004	2.241912e-003	4.614750e+001	4.858143e-005
9.040234375000001e-004	3.326562e-003	4.614743e+001	7.208552e-005
9.050000000000001e-004	5.025449e-003	4.614734e+001	1.089001e-004
9.550000000000001e-004	5.025491e-003	4.614772e+001	1.089001e-004
9.552929687500001e-004	4.461523e-003	4.614808e+001	9.667842e-005
9.556835937500000e-004	3.775972e-003	4.614806e+001	8.182298e-005
9.564648437500001e-004	2.588910e-003	4.614801e+001	5.610014e-005
9.574414062500001e-004	1.411819e-003	4.614795e+001	3.059332e-005
9.584179687500001e-004	5.625516e-004	4.614789e+001	1.219019e-005
9.590234375000001e-004	2.511412e-004	4.614785e+001	5.442101e-006
9.600000000000001e-004	4.259698e-009	4.614779e+001	9.230558e-011
9.829492187499993e-004	4.259695e-009	4.614777e+001	9.230555e-011
9.995703124999636e-004	4.259695e-009	4.614777e+001	9.230555e-011
1.000000000000000e-003	4.259695e-009	4.614777e+001	9.230555e-011
