time	power	V(out)	Id(Mos1)
4.003007812499996e-004	2.412870e-005	4.614775e+001	5.228575e-007
4.006445312499992e-004	1.072652e-004	4.614772e+001	2.324387e-006
4.013320312499983e-004	4.241550e-004	4.614767e+001	9.191255e-006
4.023085937499983e-004	1.167209e-003	4.614758e+001	2.529295e-005
4.032851562499983e-004	2.241912e-003	4.614750e+001	4.858143e-005
4.040234375000000e-004	3.326562e-003	4.614743e+001	7.208552e-005
4.050000000000000e-004	5.025449e-003	4.614734e+001	1.089001e-004
4.550000000000000e-004	5.025491e-003	4.614772e+001	1.089001e-004
4.552929687500000e-004	4.461523e-003	4.614808e+001	9.667842e-005
4.556835937500000e-004	3.775972e-003	4.614806e+001	8.182298e-005
4.564648437500000e-004	2.588910e-003	4.614801e+001	5.610014e-005
4.574414062500000e-004	1.411819e-003	4.614795e+001	3.059332e-005
4.584179687500000e-004	5.625516e-004	4.614789e+001	1.219019e-005
4.590234375000001e-004	2.511412e-004	4.614785e+001	5.442101e-006
4.600000000000000e-004	4.259698e-009	4.614779e+001	9.230558e-011
4.731835937500000e-004	4.259695e-009	4.614777e+001	9.230555e-011
5.000000000000000e-004	4.259695e-009	4.614777e+001	9.230555e-011
5.000429687500001e-004	7.465504e-007	4.614777e+001	1.617739e-008
5.001289062500001e-004	4.829149e-006	4.614776e+001	1.046454e-007
5.003007812500002e-004	2.412870e-005	4.614775e+001	5.228575e-007
5.006445312500003e-004	1.072652e-004	4.614772e+001	2.324387e-006
5.013320312500007e-004	4.241550e-004	4.614767e+001	9.191255e-006
5.023085937500007e-004	1.167209e-003	4.614758e+001	2.529295e-005
5.032851562500007e-004	2.241912e-003	4.614750e+001	4.858143e-005
5.040234375000000e-004	3.326562e-003	4.614743e+001	7.208552e-005
5.050000000000000e-004	5.025449e-003	4.614734e+001	1.089001e-004
5.550000000000001e-004	5.025491e-003	4.614772e+001	1.089001e-004
5.552929687500000e-004	4.461523e-003	4.614808e+001	9.667842e-005
5.556835937500000e-004	3.775972e-003	4.614806e+001	8.182298e-005
5.564648437500000e-004	2.588910e-003	4.614801e+001	5.610014e-005
5.574414062500000e-004	1.411819e-003	4.614795e+001	3.059332e-005
5.584179687500000e-004	5.625516e-004	4.614789e+001	1.219019e-005
5.590234375000001e-004	2.511412e-004	4.614785e+001	5.442101e-006
5.600000000000001e-004	4.259698e-009	4.614779e+001	9.230558e-011
6.000000000000001e-004	4.259695e-009	4.614777e+001	9.230555e-011
6.000429687500001e-004	7.465504e-007	4.614777e+001	1.617739e-008
6.001289062500002e-004	4.829149e-006	4.614776e+001	1.046454e-007
6.003007812500003e-004	2.412870e-005	4.614775e+001	5.228575e-007
6.006445312500004e-004	1.072652e-004	4.614772e+001	2.324387e-006
6.013320312500007e-004	4.241550e-004	4.614767e+001	9.191255e-006
6.023085937500007e-004	1.167209e-003	4.614758e+001	2.529295e-005
6.032851562500007e-004	2.241912e-003	4.614750e+001	4.858143e-005
6.040234375000001e-004	3.326562e-003	4.614743e+001	7.208552e-005
6.050000000000001e-004	5.025449e-003	4.614734e+001	1.089001e-004
6.550000000000001e-004	5.025491e-003	4.614772e+001	1.089001e-004
6.552929687500001e-004	4.461523e-003	4.614808e+001	9.667842e-005
6.556835937500000e-004	3.775972e-003	4.614806e+001	8.182298e-005
6.564648437500000e-004	2.588910e-003	4.614801e+001	5.610014e-005
6.574414062500000e-004	1.411819e-003	4.614795e+001	3.059332e-005
6.584179687500000e-004	5.625516e-004	4.614789e+001	1.219019e-005
6.590234375000001e-004	2.511412e-004	4.614785e+001	5.442101e-006
6.600000000000001e-004	4.259698e-009	4.614779e+001	9.230558e-011
7.000000000000001e-004	4.259695e-009	4.614777e+001	9.230555e-011
7.000429687500001e-004	7.465504e-007	4.614777e+001	1.617739e-008
7.001289062500002e-004	4.829149e-006	4.614776e+001	1.046454e-007
7.003007812500003e-004	2.412870e-005	4.614775e+001	5.228575e-007
7.006445312500004e-004	1.072652e-004	4.614772e+001	2.324387e-006
7.013320312500008e-004	4.241550e-004	4.614767e+001	9.191255e-006
7.023085937500008e-004	1.167209e-003	4.614758e+001	2.529295e-005
7.032851562500008e-004	2.241912e-003	4.614750e+001	4.858143e-005
7.040234375000000e-004	3.326562e-003	4.614743e+001	7.208552e-005
7.050000000000000e-004	5.025449e-003	4.614734e+001	1.089001e-004
7.259960937500000e-004	5.025490e-003	4.614771e+001	1.089001e-004
7.550000000000000e-004	5.025491e-003	4.614772e+001	1.089001e-004
7.552929687500000e-004	4.461523e-003	4.614808e+001	9.667842e-005
7.556835937500000e-004	3.775972e-003	4.614806e+001	8.182298e-005
7.564648437500000e-004	2.588910e-003	4.614801e+001	5.610014e-005
7.574414062500000e-004	1.411819e-003	4.614795e+001	3.059332e-005
7.584179687500000e-004	5.625516e-004	4.614789e+001	1.219019e-005
7.590234375000000e-004	2.511412e-004	4.614785e+001	5.442101e-006
7.600000000000000e-004	4.259698e-009	4.614779e+001	9.230558e-011
8.000000000000000e-004	4.259695e-009	4.614777e+001	9.230555e-011
8.000429687500001e-004	7.465504e-007	4.614777e+001	1.617739e-008
8.001289062500002e-004	4.829149e-006	4.614776e+001	1.046454e-007
8.003007812500002e-004	2.412870e-005	4.614775e+001	5.228575e-007
8.006445312500004e-004	1.072652e-004	4.614772e+001	2.324387e-006
